balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_gTogFPOY1dJsmP,charge,pay_gTogFPOY1dJsmP,3.35,eur,3.35,0.29,3.06,eur,2026-08-02 06:41:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,ideal,,order_sVQlX1hgAQJW3k,RCPT-EU-100167,1.000000
txn_neJ6bSFVVxgX6g,charge,pay_neJ6bSFVVxgX6g,14.20,eur,14.20,0.14,14.06,eur,2026-08-02 06:44:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,Discover,order_EYKJfzt306iepB,RCPT-EU-100126,1.000000
txn_vNW7YqJIih4Rcr,charge,pay_vNW7YqJIih4Rcr,20.98,eur,20.98,0.20,20.78,eur,2026-08-02 07:14:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,Discover,order_0w54IdPCCBTbaU,RCPT-EU-100226,1.000000
txn_mBx3ePUvDtSs6d,charge,pay_mBx3ePUvDtSs6d,14.67,eur,14.67,0.37,14.30,eur,2026-08-02 08:48:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,sepa,,order_fJwPLdn9QlMC27,RCPT-EU-100122,1.000000
txn_kLbHrdlWIVQV0d,refund,rfnd_kLbHrdlWIVQV0d,14.67,eur,-7.33,0.00,-7.33,eur,2026-08-02 08:48:00,2026-08-03,Refund,refund,po_FrykQ72fW8uvO9,sepa,,order_fJwPLdn9QlMC27,RCPT-EU-100122,1.000000
txn_Q13bFXPQSsGe0t,charge,pay_Q13bFXPQSsGe0t,6.64,eur,6.64,0.06,6.58,eur,2026-08-02 08:58:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,American Express,order_acO9FZnFELyrjS,RCPT-EU-100387,1.000000
txn_6Ed1pkI4BEByKT,charge,pay_6Ed1pkI4BEByKT,21.45,eur,21.45,0.38,21.07,eur,2026-08-02 10:45:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,sepa,,order_WKoj0zHZAyoLM9,RCPT-EU-100133,1.000000
txn_k3nD7n4NyM803T,charge,pay_k3nD7n4NyM803T,1.69,eur,1.69,0.35,1.34,eur,2026-08-01 07:24:00,2026-08-03,Payment,charge,po_iGu0NiNApg6D3y,sepa,,order_sLjdjsght3gZOh,RCPT-EU-100002,1.000000
txn_RxzQeFNaYBQAuN,charge,pay_RxzQeFNaYBQAuN,953.47,inr,10.27,0.31,9.96,eur,2026-08-01 12:06:00,2026-08-03,Payment (fx INR->EUR),charge,po_FrykQ72fW8uvO9,card,MasterCard,order_PFOIVrRIfhCHdg,RCPT-EU-100297,0.010771
txn_1MCK0qeB0xmZxS,charge,pay_1MCK0qeB0xmZxS,11.46,eur,11.46,0.11,11.35,eur,2026-08-03 08:59:00,2026-08-03,Payment,charge,po_iGu0NiNApg6D3y,card,Visa,order_PjoUO4kZDz530q,RCPT-EU-100055,1.000000
txn_9MaqAYfeXl0CKQ,charge,pay_9MaqAYfeXl0CKQ,14.69,eur,14.69,0.29,14.40,eur,2026-08-01 13:06:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,ideal,,order_xwp5RySTzV8RKR,RCPT-EU-100127,1.000000
txn_FACuQWk7AntlHQ,charge,pay_FACuQWk7AntlHQ,13.52,eur,13.52,0.29,13.23,eur,2026-08-02 14:09:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,ideal,,order_uOMArrdc15sAb6,RCPT-EU-100270,1.000000
txn_Qq12mDcOgl5ABu,charge,pay_Qq12mDcOgl5ABu,12.44,eur,12.44,0.37,12.07,eur,2026-08-02 14:19:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,sepa,,order_cnyjlYpcsGUqFq,RCPT-EU-100346,1.000000
txn_xZMDkbSLEPIWYw,charge,pay_xZMDkbSLEPIWYw,10.96,eur,10.96,0.37,10.59,eur,2026-08-02 15:10:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,sepa,,order_21lTJ74pgMFdXG,RCPT-EU-100218,1.000000
txn_ziWf9njuhpuXcU,charge,pay_ziWf9njuhpuXcU,7.80,eur,7.80,0.12,7.68,eur,2026-08-02 15:35:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,wallet,,order_gm4NPrmplKtQye,RCPT-EU-100166,1.000000
txn_j6zxd0U46NQBt4,charge,pay_j6zxd0U46NQBt4,7.76,eur,7.76,1.30,6.46,eur,2026-08-01 15:58:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,Visa,order_iT45xaYkrCkYMG,RCPT-EU-100370,1.000000
txn_GKxaZ0YS92JYY2,charge,pay_GKxaZ0YS92JYY2,35.94,eur,35.94,0.35,35.59,eur,2026-08-01 16:43:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,American Express,order_UHWGdLMmNSHzu5,RCPT-EU-100321,1.000000
txn_P4VNWwGVMqzb8n,charge,pay_P4VNWwGVMqzb8n,10.64,eur,10.64,0.10,10.54,eur,2026-08-02 17:24:00,2026-08-03,Payment,charge,po_FrykQ72fW8uvO9,card,Visa,order_TJLOJDV8n0AXiY,RCPT-EU-100141,1.000000
txn_2qPxdZ0fcUxl85,charge,pay_2qPxdZ0fcUxl85,30.57,eur,30.57,0.29,30.28,eur,2026-08-02 14:04:00,2026-08-03,Payment,charge,po_iGu0NiNApg6D3y,ideal,,order_820kOaZbPYuZeh,RCPT-EU-100109,1.000000
