balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_bhXEhTlXIUdygH,charge,pay_bhXEhTlXIUdygH,7.07,eur,7.07,0.05,7.02,eur,2026-08-02 07:03:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,Visa,order_wrSX9upnigzKhV,RCPT-EU-100340,1.000000
txn_c295FTeDpSB86V,charge,pay_c295FTeDpSB86V,3.45,eur,3.45,0.02,3.43,eur,2026-08-02 09:07:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,MasterCard,order_GrnFoFvFdyK8o6,RCPT-EU-100172,1.000000
txn_eNZNmdwTecforL,charge,pay_eNZNmdwTecforL,10.80,eur,10.80,0.07,10.73,eur,2026-08-02 09:26:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,MasterCard,order_3fNiYaEDsRX8Rn,RCPT-EU-100045,1.000000
txn_enJSgdhshNRuGl,charge,pay_enJSgdhshNRuGl,12.60,eur,12.60,0.08,12.52,eur,2026-08-01 09:42:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,Discover,order_7TnRjwxNSTXwbf,RCPT-EU-100146,1.000000
txn_eZ56ywN1C6mLef,charge,pay_eZ56ywN1C6mLef,5.54,eur,5.54,0.04,5.50,eur,2026-08-02 10:59:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,American Express,order_TT6aNxp9Ea7K8d,RCPT-EU-100114,1.000000
txn_smh2lxwqzFAXE9,charge,pay_smh2lxwqzFAXE9,16.74,eur,16.74,0.11,16.63,eur,2026-08-02 07:07:00,2026-08-03,Payment,charge,po_uiwK9ZdwhSj2Xg,card,MasterCard,order_yNZ1OaWVOWZA5x,RCPT-EU-100080,1.000000
txn_D4Ibduq52mivRO,charge,pay_D4Ibduq52mivRO,23.00,eur,23.00,0.86,22.14,eur,2026-08-01 11:19:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,sepa,,order_kNJgF0dOhoZS8W,RCPT-EU-100262,1.000000
txn_RXmaVEJIC8rjXO,charge,pay_RXmaVEJIC8rjXO,2.87,eur,2.87,0.02,2.85,eur,2026-08-03 07:21:00,2026-08-03,Payment,charge,po_uiwK9ZdwhSj2Xg,card,Discover,order_bcoXVfDLzvO7Po,RCPT-EU-100221,1.000000
txn_60BrKCJ0sDbhYL,refund,rfnd_60BrKCJ0sDbhYL,2.87,eur,-2.87,0.00,-2.87,eur,2026-08-03 07:21:00,2026-08-03,Refund,refund,po_uiwK9ZdwhSj2Xg,card,Discover,order_bcoXVfDLzvO7Po,RCPT-EU-100221,1.000000
txn_glVzwQR6HvvxK0,charge,pay_glVzwQR6HvvxK0,25.43,eur,25.43,0.17,25.26,eur,2026-08-01 11:57:00,2026-08-03,Payment,charge,po_khZeZ3gIg0leBy,card,MasterCard,order_7ZI5V4isXxbwLZ,RCPT-EU-100016,1.000000
