balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_TVP2EUU55cB3zI,charge,pay_TVP2EUU55cB3zI,18.31,gbp,20.91,0.65,20.26,eur,2026-08-02 06:14:00,2026-08-03,Payment (fx GBP->EUR),charge,po_fZzpODAPrg7IZH,wallet,,order_4ZmWuyk3PIwaQL,RCPT-EU-100031,1.141835
txn_vKIADRzi3nRJ3g,charge,pay_vKIADRzi3nRJ3g,12.24,eur,12.24,0.03,12.21,eur,2026-08-02 07:17:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,American Express,order_RCsQ2sClm68Wo7,RCPT-EU-100208,1.000000
txn_CqW37f1oFmbJao,charge,pay_CqW37f1oFmbJao,19.88,eur,19.88,0.04,19.84,eur,2026-08-01 08:03:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,MasterCard,order_b5aA1bsMGoFKGT,RCPT-EU-100179,1.000000
txn_Tmd9BLMJ6giDil,charge,pay_Tmd9BLMJ6giDil,3247.56,inr,34.98,0.78,34.20,eur,2026-08-02 08:04:00,2026-08-03,Payment (fx INR->EUR),charge,po_fZzpODAPrg7IZH,card,MasterCard,order_X194WHmjWgIcQL,RCPT-EU-100054,0.010771
txn_Tacg6eWBU0TJTZ,refund,rfnd_Tacg6eWBU0TJTZ,3247.56,inr,-34.98,0.00,-34.98,eur,2026-08-02 08:04:00,2026-08-03,Refund (fx INR->EUR),refund,po_fZzpODAPrg7IZH,card,MasterCard,order_X194WHmjWgIcQL,RCPT-EU-100054,0.010771
txn_8MHoCY1SfyKkyf,charge,pay_8MHoCY1SfyKkyf,18.22,eur,18.22,0.29,17.93,eur,2026-08-01 09:06:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,ideal,,order_Z8ngB7l4jBfFFk,RCPT-EU-100256,1.000000
txn_owUpHiTNYzeWiE,charge,pay_owUpHiTNYzeWiE,10.22,eur,10.22,0.02,10.20,eur,2026-08-02 09:48:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,MasterCard,order_7NpNc6fyyhoeaz,RCPT-EU-100080,1.000000
txn_0F5kqO3y7jczjL,charge,pay_0F5kqO3y7jczjL,16.93,eur,16.93,0.39,16.54,eur,2026-08-01 10:18:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,sepa,,order_UhxGuE5WCrVxXt,RCPT-EU-100304,1.000000
txn_NXTmsaol8MfR2J,charge,pay_NXTmsaol8MfR2J,59.10,eur,59.10,0.29,58.81,eur,2026-08-01 11:03:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,ideal,,order_nT6VQZ8qDdbmUF,RCPT-EU-100299,1.000000
txn_POhG5n42m15zXQ,charge,pay_POhG5n42m15zXQ,43.01,eur,43.01,0.09,42.92,eur,2026-08-01 12:45:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,American Express,order_Tu1SvWnxNBNn0U,RCPT-EU-100081,1.000000
txn_LvgZnrXSFn6spm,charge,pay_LvgZnrXSFn6spm,86.13,eur,86.13,0.19,85.94,eur,2026-08-02 12:51:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,Visa,order_KCH6vLBInrI7uS,RCPT-EU-100005,1.000000
txn_XQYyHP5ikwziVy,charge,pay_XQYyHP5ikwziVy,26.49,eur,26.49,0.06,26.43,eur,2026-08-02 14:02:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,American Express,order_mMVGsSmSST0EIJ,RCPT-EU-100155,1.000000
txn_nWYXFPenldLsMO,charge,pay_nWYXFPenldLsMO,46.13,eur,46.13,0.10,46.03,eur,2026-08-02 14:28:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,Visa,order_DHSlYLRCV1yEk8,RCPT-EU-100139,1.000000
txn_8G4W3U4uRIL1OB,charge,pay_8G4W3U4uRIL1OB,18.16,eur,18.16,0.04,18.12,eur,2026-08-01 14:48:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,American Express,order_gkEOo7DhGwjbUC,RCPT-EU-100263,1.000000
txn_BIwFpDYqvW1xOG,charge,pay_BIwFpDYqvW1xOG,23.09,eur,23.09,0.05,23.04,eur,2026-08-03 10:57:00,2026-08-03,Payment,charge,po_nfIV0CON2kmLW0,card,American Express,order_WRRKfpDsXAgfLG,RCPT-EU-100277,1.000000
txn_1JiHRlfR9fMevd,charge,pay_1JiHRlfR9fMevd,21.43,usd,19.27,0.43,18.84,eur,2026-08-02 11:11:00,2026-08-03,Payment (fx USD->EUR),charge,po_nfIV0CON2kmLW0,card,MasterCard,order_gWrJ6eHrnraFLx,RCPT-EU-100324,0.899082
txn_KobqAjIvQTYK8d,charge,pay_KobqAjIvQTYK8d,30.26,eur,30.26,0.07,30.19,eur,2026-08-02 15:44:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,Discover,order_E1deCei5M1T8Et,RCPT-EU-100086,1.000000
txn_DFOA4scQTrqJ34,charge,pay_DFOA4scQTrqJ34,14.01,eur,14.01,0.38,13.63,eur,2026-08-01 15:56:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,sepa,,order_p2KASimpZMtYsq,RCPT-EU-100243,1.000000
txn_784Tj0x5gCHNJM,charge,pay_784Tj0x5gCHNJM,51.29,eur,51.29,0.29,51.00,eur,2026-08-01 16:05:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,ideal,,order_HH8i39RDO5iWgr,RCPT-EU-100197,1.000000
txn_5rXwlfaAoxgZmi,charge,pay_5rXwlfaAoxgZmi,50.70,eur,50.70,0.29,50.41,eur,2026-08-01 16:46:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,ideal,,order_ZMsSbb37kg4wEN,RCPT-EU-100337,1.000000
txn_qVpuvCX3UeoE7G,charge,pay_qVpuvCX3UeoE7G,121.64,sek,10.28,0.23,10.05,eur,2026-08-01 12:56:00,2026-08-03,Payment (fx SEK->EUR),charge,po_nfIV0CON2kmLW0,card,MasterCard,order_RUOqngwTyEuWPg,RCPT-EU-100088,0.084514
txn_s87epm91zIFlAp,charge,pay_s87epm91zIFlAp,44.00,eur,44.00,0.10,43.90,eur,2026-08-03 13:04:00,2026-08-03,Payment,charge,po_nfIV0CON2kmLW0,card,Visa,order_9oVQph9IJhnVfl,RCPT-EU-100046,1.000000
txn_xpCfgW6la75Ki4,charge,pay_xpCfgW6la75Ki4,22.15,eur,22.15,0.05,22.10,eur,2026-08-01 13:50:00,2026-08-03,Payment,charge,po_nfIV0CON2kmLW0,card,MasterCard,order_OYjvVlsdvyf5Mz,RCPT-EU-100234,1.000000
txn_dtxrVTFzb6eyyG,charge,pay_dtxrVTFzb6eyyG,3920.65,inr,42.23,0.93,41.30,eur,2026-08-02 18:02:00,2026-08-03,Payment (fx INR->EUR),charge,po_fZzpODAPrg7IZH,card,MasterCard,order_ZiqYYpuBLk4p8E,RCPT-EU-100013,0.010771
txn_pzxjsWOXMHKmf8,charge,pay_pzxjsWOXMHKmf8,39.01,eur,39.01,0.44,38.57,eur,2026-08-02 19:10:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,sepa,,order_fyayDLdXSnfAJ6,RCPT-EU-100222,1.000000
txn_jj627E5PNc0TUO,charge,pay_jj627E5PNc0TUO,56.57,usd,50.86,1.64,49.22,eur,2026-08-02 19:45:00,2026-08-03,Payment (fx USD->EUR),charge,po_fZzpODAPrg7IZH,card,Visa,order_WWbHKpoYgYB4TI,RCPT-EU-100328,0.899082
txn_K0btyexRR1ZEso,charge,pay_K0btyexRR1ZEso,27.71,eur,27.71,0.30,27.41,eur,2026-08-01 19:56:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,wallet,,order_191tPT4N1qBNJD,RCPT-EU-100202,1.000000
txn_7Ljj2MmYMzBzo7,charge,pay_7Ljj2MmYMzBzo7,22.22,eur,22.22,0.05,22.17,eur,2026-08-01 19:58:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,card,Discover,order_AkheuCL43yx9Pa,RCPT-EU-100157,1.000000
txn_M9EHOfjmNtElbX,charge,pay_M9EHOfjmNtElbX,1290.48,inr,13.90,0.31,13.59,eur,2026-08-01 20:02:00,2026-08-03,Payment (fx INR->EUR),charge,po_fZzpODAPrg7IZH,card,Discover,order_8R0A8qELfZZBtv,RCPT-EU-100270,0.010771
txn_8CQKfjOhOI0oqh,charge,pay_8CQKfjOhOI0oqh,31.60,eur,31.60,0.29,31.31,eur,2026-08-01 20:51:00,2026-08-03,Payment,charge,po_fZzpODAPrg7IZH,ideal,,order_lYJI5AYXBKKP0w,RCPT-EU-100306,1.000000
txn_Mv5NObFg1tViBO,charge,pay_Mv5NObFg1tViBO,20.85,eur,20.85,0.40,20.45,eur,2026-08-03 19:05:00,2026-08-03,Payment,charge,po_nfIV0CON2kmLW0,sepa,,order_uostfQwzUYzyz2,RCPT-EU-100095,1.000000
txn_ePdwDEpbQKcu7b,charge,pay_ePdwDEpbQKcu7b,36.28,eur,36.28,0.08,36.20,eur,2026-08-01 19:44:00,2026-08-03,Payment,charge,po_nfIV0CON2kmLW0,card,MasterCard,order_fPZ5WTSFnyt0HG,RCPT-EU-100038,1.000000
txn_nKLoEDRhuHusuw,charge,pay_nKLoEDRhuHusuw,37.26,eur,37.26,0.08,37.18,eur,2026-08-03 06:57:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,card,Discover,order_xxQVhy0gBOItWN,RCPT-EU-100063,1.000000
txn_Ptdgjk5qAAnLIV,charge,pay_Ptdgjk5qAAnLIV,255.93,sek,21.63,0.66,20.97,eur,2026-08-03 07:43:00,2026-08-04,Payment (fx SEK->EUR),charge,po_ZdCYDmWCSwpera,wallet,,order_I8hCY86mJbtv54,RCPT-EU-100097,0.084514
txn_qXipOvj7vTd4q9,charge,pay_qXipOvj7vTd4q9,63.79,eur,63.79,0.14,63.65,eur,2026-08-03 08:54:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,card,Discover,order_oIWYxT17CfZWuN,RCPT-EU-100006,1.000000
txn_qWREsgjzgE0hUq,charge,pay_qWREsgjzgE0hUq,56.85,eur,56.85,0.12,56.73,eur,2026-08-03 11:49:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,card,Discover,order_JcPQj7fxQCnRqf,RCPT-EU-100104,1.000000
txn_3oRv0EqJErCMhu,charge,pay_3oRv0EqJErCMhu,26.06,eur,26.06,0.29,25.77,eur,2026-08-03 11:54:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,ideal,,order_lKGChRhZSXXHlE,RCPT-EU-100161,1.000000
txn_ABUT3CfeWWBvdA,charge,pay_ABUT3CfeWWBvdA,29.21,eur,29.21,0.06,29.15,eur,2026-08-03 14:32:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,card,Visa,order_SlO5iyVEDu7EOP,RCPT-EU-100030,1.000000
txn_q7XsKnWF3ID393,charge,pay_q7XsKnWF3ID393,255.58,sek,21.60,0.70,20.90,eur,2026-08-04 11:09:00,2026-08-04,Payment (fx SEK->EUR),charge,po_xcBi7idq1n8Qlz,card,American Express,order_VLAJ4YfKOExrL5,RCPT-EU-100289,0.084514
txn_PyAjAiR6kCgcTi,charge,pay_PyAjAiR6kCgcTi,161.69,eur,161.69,0.35,161.34,eur,2026-08-04 12:12:00,2026-08-04,Payment,charge,po_xcBi7idq1n8Qlz,card,Discover,order_E2kLvtmextDHC7,RCPT-EU-100110,1.000000
txn_CPOwkxqKJAXZC6,charge,pay_CPOwkxqKJAXZC6,24.63,eur,24.63,0.05,24.58,eur,2026-08-03 17:47:00,2026-08-04,Payment,charge,po_ZdCYDmWCSwpera,card,Discover,order_AXxYMo7H5DwdNw,RCPT-EU-100288,1.000000
