balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_c295FTeDpSB86V,charge,pay_c295FTeDpSB86V,45.06,eur,45.06,0.29,44.77,eur,2026-08-02 09:07:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,card,MasterCard,order_GrnFoFvFdyK8o6,RCPT-EU-100166,1.000000
txn_F9K0z0LuWeyE1Z,charge,pay_F9K0z0LuWeyE1Z,159.60,eur,159.60,0.29,159.31,eur,2026-08-02 09:51:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,ideal,,order_Xaxs04oEWaPbLP,RCPT-EU-100244,1.000000
txn_HNL1KS7rGlDI8r,charge,pay_HNL1KS7rGlDI8r,69.31,eur,69.31,1.57,67.74,eur,2026-08-01 06:48:00,2026-08-03,Payment,charge,po_33klJDfDZTN4XZ,card,MasterCard,order_dEwGUZdbgWbNmX,RCPT-EU-100015,1.000000
txn_8pvHdzdawuEHW3,charge,pay_8pvHdzdawuEHW3,2261.04,sek,191.09,5.07,186.02,eur,2026-08-03 07:56:00,2026-08-03,Payment (fx SEK->EUR),charge,po_33klJDfDZTN4XZ,card,American Express,order_eMLFdQWkIlZbTI,RCPT-EU-100286,0.084514
txn_okGSey5mdWm2fd,charge,pay_okGSey5mdWm2fd,182.03,eur,182.03,1.19,180.84,eur,2026-08-01 07:58:00,2026-08-03,Payment,charge,po_33klJDfDZTN4XZ,card,American Express,order_CMJ8erBcwlZiDS,RCPT-EU-100080,1.000000
txn_Pj0a3vk9Nmq254,charge,pay_Pj0a3vk9Nmq254,75.58,eur,75.58,0.49,75.09,eur,2026-08-02 12:18:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,card,Visa,order_9McV3HbSdUQKvg,RCPT-EU-100327,1.000000
txn_olRNU9mYMRcq23,charge,pay_olRNU9mYMRcq23,71.05,eur,71.05,0.66,70.39,eur,2026-08-03 08:49:00,2026-08-03,Payment,charge,po_33klJDfDZTN4XZ,sepa,,order_BQLXgsmMi2QMYj,RCPT-EU-100105,1.000000
txn_rbzHcU5vuE1H91,charge,pay_rbzHcU5vuE1H91,66.69,eur,66.69,0.43,66.26,eur,2026-08-03 08:50:00,2026-08-03,Payment,charge,po_33klJDfDZTN4XZ,card,Discover,order_Wq1jtHsHZTs9pj,RCPT-EU-100069,1.000000
txn_aVhpNbdCQDrdGj,charge,pay_aVhpNbdCQDrdGj,101.71,eur,101.71,0.66,101.05,eur,2026-08-01 13:35:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,card,MasterCard,order_ImMkiilfA9N1pY,RCPT-EU-100116,1.000000
txn_urJT3PfQh0RejL,charge,pay_urJT3PfQh0RejL,121.59,eur,121.59,0.29,121.30,eur,2026-08-02 09:49:00,2026-08-03,Payment,charge,po_33klJDfDZTN4XZ,ideal,,order_TLBMiJ3qBdA2ND,RCPT-EU-100330,1.000000
txn_ByL7fG1dB9KUAr,charge,pay_ByL7fG1dB9KUAr,591.60,eur,591.60,0.29,591.31,eur,2026-08-01 14:03:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,ideal,,order_DZUef09npu2PlG,RCPT-EU-100145,1.000000
txn_unffSSfzbQzTcC,charge,pay_unffSSfzbQzTcC,32.58,eur,32.58,0.49,32.09,eur,2026-08-02 14:03:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,sepa,,order_pPr7keIuEfPQIW,RCPT-EU-100230,1.000000
txn_oHcGoipozX9ErM,charge,pay_oHcGoipozX9ErM,93.14,eur,93.14,0.61,92.53,eur,2026-08-01 16:08:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,card,Visa,order_M0eQLtAweitCLO,RCPT-EU-100008,1.000000
txn_87SBkZh7deL9yn,charge,pay_87SBkZh7deL9yn,89.96,eur,89.96,0.59,89.37,eur,2026-08-02 16:10:00,2026-08-03,Payment,charge,po_AK5314bxG5YMWo,card,Visa,order_FsOrR0MAMqFLht,RCPT-EU-100140,1.000000
