balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_lQGOTvZ89hOz9Z,charge,pay_lQGOTvZ89hOz9Z,7.74,eur,7.74,0.07,7.67,eur,2026-08-02 06:04:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,American Express,order_dNKI7xEzzoMepj,RCPT-EU-100051,1.000000
txn_dhPscGW3GtLCRH,charge,pay_dhPscGW3GtLCRH,9.30,eur,9.30,0.10,9.20,eur,2026-08-01 06:06:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,wallet,,order_dflgwRHHHZ4Iil,RCPT-EU-100070,1.000000
txn_QCJdBew9Gw4tGL,charge,pay_QCJdBew9Gw4tGL,14.80,eur,14.80,0.13,14.67,eur,2026-08-01 06:29:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Discover,order_JzhKngUGgy94Y6,RCPT-EU-100144,1.000000
txn_V9VhkONjy0NS1z,charge,pay_V9VhkONjy0NS1z,14.02,eur,14.02,0.29,13.73,eur,2026-08-02 06:34:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,ideal,,order_kitBOxLBzgRbXE,RCPT-EU-100138,1.000000
txn_e4tFuSV17mL9Ip,charge,pay_e4tFuSV17mL9Ip,3.93,eur,3.93,0.51,3.42,eur,2026-08-01 07:05:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,ideal,,order_0wHpL1gQVKK67O,RCPT-EU-100185,1.000000
txn_yFdxCN4ki6E2UV,charge,pay_yFdxCN4ki6E2UV,8.78,eur,8.78,0.36,8.42,eur,2026-08-01 07:13:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,sepa,,order_nj4dfxo5NAPN5W,RCPT-EU-100142,1.000000
txn_6xcL5GQTZassLc,charge,pay_6xcL5GQTZassLc,8.69,eur,8.69,0.07,8.62,eur,2026-08-01 07:23:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,American Express,order_u4G37dVU1NBY1y,RCPT-EU-100150,1.000000
txn_E5FKyqqlTqQLCJ,refund,rfnd_E5FKyqqlTqQLCJ,8.69,eur,-8.69,0.00,-8.69,eur,2026-08-01 07:23:00,2026-08-03,Refund,refund,po_G3TgNcvyymOItH,card,American Express,order_u4G37dVU1NBY1y,RCPT-EU-100150,1.000000
txn_AEZ7770h2dcPyG,charge,pay_AEZ7770h2dcPyG,5.27,eur,5.27,0.04,5.23,eur,2026-08-01 08:02:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Discover,order_OJJhrG80usp2w5,RCPT-EU-100021,1.000000
txn_IS0acQlPU19Dkv,charge,pay_IS0acQlPU19Dkv,20.95,usd,18.84,0.54,18.30,eur,2026-08-01 08:32:00,2026-08-03,Payment (fx USD->EUR),charge,po_G3TgNcvyymOItH,card,Visa,order_Gi8qaTmD3HGbEk,RCPT-EU-100215,0.899082
txn_myRj7AzDuSOTF8,charge,pay_myRj7AzDuSOTF8,31.62,eur,31.62,0.27,31.35,eur,2026-08-02 08:44:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Discover,order_7qjenm34JYsidY,RCPT-EU-100206,1.000000
txn_cUngmgMsRcgize,charge,pay_cUngmgMsRcgize,4.67,eur,4.67,0.04,4.63,eur,2026-08-02 09:12:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Visa,order_g8Psh4487Q7j58,RCPT-EU-100008,1.000000
txn_FQOqb7XOfCsVta,charge,pay_FQOqb7XOfCsVta,9.01,eur,9.01,0.29,8.72,eur,2026-08-01 09:31:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,ideal,,order_XrZMAzSv2gENfM,RCPT-EU-100023,1.000000
txn_Q3ADGqY1XPSBec,charge,pay_Q3ADGqY1XPSBec,6.58,eur,6.58,0.06,6.52,eur,2026-08-01 09:41:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Discover,order_fHHdjtfFZHfe7L,RCPT-EU-100152,1.000000
txn_gUMxXy9b4BzwoZ,charge,pay_gUMxXy9b4BzwoZ,8.06,eur,8.06,0.07,7.99,eur,2026-08-02 10:06:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,card,Discover,order_648jjNuFD7uacn,RCPT-EU-100018,1.000000
txn_lndZ7ucN4NDLb2,charge,pay_lndZ7ucN4NDLb2,7.91,eur,7.91,0.29,7.62,eur,2026-08-02 10:14:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,ideal,,order_oHDI34E0mfLA7u,RCPT-EU-100118,1.000000
txn_UlM8EZBrKAX8eO,charge,pay_UlM8EZBrKAX8eO,10.54,eur,10.54,0.12,10.42,eur,2026-08-02 10:28:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,wallet,,order_EeXg28vfrNn5NM,RCPT-EU-100155,1.000000
txn_pIng6l9dIeAJNt,charge,pay_pIng6l9dIeAJNt,12.62,eur,12.62,0.37,12.25,eur,2026-08-02 10:55:00,2026-08-03,Payment,charge,po_G3TgNcvyymOItH,sepa,,order_yiWTS178D7UdEO,RCPT-EU-100279,1.000000
txn_Zx7doCz44CC3pn,charge,pay_Zx7doCz44CC3pn,13.27,chf,13.24,0.37,12.87,eur,2026-08-01 11:06:00,2026-08-03,Payment (fx CHF->EUR),charge,po_G3TgNcvyymOItH,card,Discover,order_R6rnRoiz7CnGQH,RCPT-EU-100072,0.997982
txn_T6DlTYx9X9sLRT,charge,pay_T6DlTYx9X9sLRT,6.91,eur,6.91,0.36,6.55,eur,2026-08-02 08:19:00,2026-08-03,Payment,charge,po_nK98h7n1cVn1Jp,sepa,,order_58eMnU7cZGrQXZ,RCPT-EU-100133,1.000000
txn_4HtXOf54fZBKA8,charge,pay_4HtXOf54fZBKA8,8.36,eur,8.36,0.07,8.29,eur,2026-08-03 08:47:00,2026-08-03,Payment,charge,po_nK98h7n1cVn1Jp,card,American Express,order_frcZTuJaWYUH1V,RCPT-EU-100017,1.000000
txn_SQXEZY3lEX7bwR,refund,rfnd_SQXEZY3lEX7bwR,8.36,eur,-4.18,0.00,-4.18,eur,2026-08-03 08:47:00,2026-08-03,Refund,refund,po_nK98h7n1cVn1Jp,card,American Express,order_frcZTuJaWYUH1V,RCPT-EU-100017,1.000000
txn_JUdKoNiVaxuPMO,charge,pay_JUdKoNiVaxuPMO,11.93,usd,10.73,0.30,10.43,eur,2026-08-02 13:00:00,2026-08-03,Payment (fx USD->EUR),charge,po_G3TgNcvyymOItH,card,Discover,order_K3aWnbTTKoNcFJ,RCPT-EU-100175,0.899082
txn_n5rPvi2xqwHx1S,charge,pay_n5rPvi2xqwHx1S,14.53,eur,14.53,0.12,14.41,eur,2026-08-03 09:06:00,2026-08-03,Payment,charge,po_nK98h7n1cVn1Jp,card,Discover,order_SRkRXQvQMcPLPP,RCPT-EU-100028,1.000000
