entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_PK5ACDiBZLPKD6,payment,0,47509,47800,INR,247,44,False,True,1785546660,1785719460,setl_TT0jLvgLaELO1o,,default,Payment via CARD,,,937897767622,order_xGAnjq8MJaMhmp,RCPT-IN-100042,card,Discover,IDFB,credit,
pay_ogV1CcHUjNK3Ti,payment,0,38200,38200,INR,0,0,False,True,1785548760,1785721560,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_nJ5gRQ6lrRcyuJ,RCPT-IN-100265,upi,,,,
pay_oiQjWoKkoUWTGC,payment,0,302900,302900,INR,0,0,False,True,1785549120,1785721920,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_vLsWa5BztdxGVG,RCPT-IN-100148,upi,,,,
pay_sPALOLQ5tyPBBH,payment,0,282200,282200,INR,0,0,False,True,1785550860,1785723660,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_F7FMJeVEhWUSav,RCPT-IN-100171,upi,,,,
pay_1GlYlUA9YoQan9,payment,0,32986,33400,INR,351,63,False,True,1785550980,1785723780,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_EfihYGfGZqGfub,RCPT-IN-100238,upi,,,,
pay_6UM4YVmPY62o6s,payment,0,112984,114400,INR,1200,216,False,True,1785552360,1785725160,setl_TT0jLvgLaELO1o,,default,Payment via NETBANKING,,,937897767622,order_q1iee1hsA2Bb9u,RCPT-IN-100044,netbanking,,,,
pay_PjHR9aJ6IhIlU4,payment,0,43236,43500,INR,224,40,False,True,1785553680,1785726480,setl_TT0jLvgLaELO1o,,default,Payment via CARD,,,937897767622,order_wDKObKFl0cyaQ4,RCPT-IN-100166,card,American Express,UTIB,credit,
pay_3W5mUCBqTrCppz,payment,0,279100,279100,INR,0,0,False,True,1785554880,1785727680,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_8zJo70RIh8sqzG,RCPT-IN-100375,upi,,,,
pay_pfZnrzVLD3ayCF,payment,0,232900,232900,INR,0,0,False,True,1785556200,1785729000,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_onVxfmZQ8d3AB7,RCPT-IN-100109,upi,,,,
pay_lAqBMLfxjkR3p5,payment,0,113119,116149,INR,2922,108,False,True,1785561300,1785734100,setl_TT0jLvgLaELO1o,,default,Payment (GBP) via CARD,,,937897767622,order_igJkMamHJKhwgG,RCPT-IN-100085,card,Visa,ICIC,credit,
pay_Qmoj9DV3WHoyzw,payment,0,155000,155000,INR,0,0,False,True,1785722100,1785736500,setl_slLJbmOpTPxqPI,,default,Payment via UPI,,,7349795m97qrq,order_0e9PmfHNNsIAnI,RCPT-IN-100301,upi,,,,
pay_g28vfrNn5NM1eM,payment,0,185300,185300,INR,0,0,False,True,1785564000,1785736800,setl_TT0jLvgLaELO1o,,default,Payment via UPI,,,937897767622,order_TydRO9wUCaLVaq,RCPT-IN-100165,upi,,,,
pay_55WGGkFn0QiWEc,payment,0,95384,96800,INR,1200,216,False,True,1785566160,1785738960,setl_TT0jLvgLaELO1o,,default,Payment via NETBANKING,,,937897767622,order_Y4vxGeRENWO0Sb,RCPT-IN-100388,netbanking,,,,
rfnd_IrtHNaq2UQChWW,refund,48400,0,48400,INR,0,0,False,True,1785566160,1785738960,setl_TT0jLvgLaELO1o,,default,Refund via NETBANKING,,rfnd_IrtHNaq2UQChWW,937897767622,order_Y4vxGeRENWO0Sb,RCPT-IN-100388,netbanking,,,,
pay_V5Pjm1ALmMnaxg,payment,0,128700,128700,INR,0,0,False,True,1785725160,1785739560,setl_slLJbmOpTPxqPI,,default,Payment via UPI,,,7349795m97qrq,order_hCHGOLpDFvGSQu,RCPT-IN-100302,upi,,,,
pay_iCIv2KkgBYB1KO,payment,0,101379,102000,INR,526,95,False,True,1785645660,1785746460,setl_slLJbmOpTPxqPI,,default,Payment via CARD,,,7349795m97qrq,order_p9nHjqbhLAa9yf,RCPT-IN-100320,card,MasterCard,UTIB,debit,
pay_XyyAryrVfzFJ1k,payment,0,108884,110300,INR,1200,216,False,True,1785646740,1785747540,setl_slLJbmOpTPxqPI,,default,Payment via NETBANKING,,,7349795m97qrq,order_wsewjKzbfUekfr,RCPT-IN-100361,netbanking,,,,
pay_XatqMkYuqaV9e9,payment,0,58684,60100,INR,1200,216,False,True,1785576060,1785748860,setl_TT0jLvgLaELO1o,,default,Payment via NETBANKING,,,937897767622,order_l7nKU5YMR5Nyqy,RCPT-IN-100192,netbanking,,,,
pay_dUuEl8LWYX2EiN,payment,0,56255,56600,INR,292,53,False,True,1785736800,1785751200,setl_slLJbmOpTPxqPI,,default,Payment via CARD,,,7349795m97qrq,order_o4cjd09jRphseJ,RCPT-IN-100314,card,Visa,ICIC,debit,
pay_Ych1BmJCWHr5Fi,payment,0,179400,179400,INR,0,0,False,True,1785564840,1785752040,setl_slLJbmOpTPxqPI,,default,Payment via UPI,,,7349795m97qrq,order_xKMt1736p9zFRd,RCPT-IN-100306,upi,,,,
pay_Vz8KjjZpLSHI55,payment,0,59435,59800,INR,309,56,False,True,1785580740,1785753540,setl_TT0jLvgLaELO1o,,default,Payment via CARD,,,937897767622,order_zBnUzecfRXh5BW,RCPT-IN-100188,card,MasterCard,YESB,debit,
pay_aT6ryjYmuTwvks,payment,0,170600,170600,INR,0,0,False,True,1785566820,1785754020,setl_slLJbmOpTPxqPI,,default,Payment via UPI,,,7349795m97qrq,order_otKedd2SZCGd8n,RCPT-IN-100277,upi,,,,
pay_jJpz6ZFkn7XvgK,payment,0,63484,64900,INR,1200,216,False,True,1785740760,1785755160,setl_slLJbmOpTPxqPI,,default,Payment via NETBANKING,,,7349795m97qrq,order_JWSKhK7EGYfwzy,RCPT-IN-100034,netbanking,,,,
pay_jHufpgs4R6xcL5,payment,0,70400,70400,INR,0,0,False,True,1785745800,1785760200,setl_slLJbmOpTPxqPI,,default,Payment via UPI,,,7349795m97qrq,order_GQTZassLcu4G37,RCPT-IN-100159,upi,,,,
rfnd_G2NzWqVRnA2ME5,refund,70400,0,70400,INR,0,0,False,True,1785745800,1785760200,setl_slLJbmOpTPxqPI,,default,Refund via UPI,,rfnd_G2NzWqVRnA2ME5,7349795m97qrq,order_GQTZassLcu4G37,RCPT-IN-100159,upi,,,,
