Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
03/08/26,NEFT CR-SBIN0078604-SAHYADRI BAZAAR INDIA-6043058v0nk4r,6043058v0nk4r,03/08/26,,14630.90,14630.90
03/08/26,NEFT CR-IDFB0087408-SAHYADRI BAZAAR INDIA-860655555711,860655555711,03/08/26,,2695.23,17326.13
04/08/26,RTGS CR-INDBR9536525756-SAHYADRI BAZAAR INDIA-131307785kvsb,131307785kvsb,04/08/26,,15309.75,32635.88
05/08/26,MMT/IMPS/718601551830/SAHYADRI BAZAAR INDIA,718601551830,05/08/26,,615.65,33251.53
05/08/26,NEFT CR-HDFC0022780-SAHYADRI BAZAAR INDIA-8554746j20rbr,8554746j20rbr,05/08/26,,10138.72,43390.25
05/08/26,NEFT CR-HDFC0075187-SAHYADRI BAZAAR INDIA-8554746j20rbr-2,8554746j20rbr-2,05/08/26,,10138.71,53528.96
06/08/26,UPI/650807058171/Settlement/SAHYADRI BAZAAR INDIA,650807058171,06/08/26,,1777.54,55306.50
06/08/26,NEFT CR-KKBK0037307-SAHYADRI BAZAAR INDIA-83293256jbn43,83293256jbn43,06/08/26,,3550.25,58856.75
06/08/26,NEFT CR-KKBK0022563-SAHYADRI BAZAAR INDIA-83293256jbn43-2,83293256jbn43-2,06/08/26,,3550.25,62407.00
06/08/26,NEFT CR-YESB0077829-SAHYADRI BAZAAR INDIA-83293256jbn43-3,83293256jbn43-3,06/08/26,,3550.26,65957.26
07/08/26,UPI/5147568vgf2u6/Settlement/SAHYADRI BAZAAR INDIA,5147568vgf2u6,07/08/26,,15433.64,81390.90
10/08/26,RTGS CR-INDBR1837307191-SAHYADRI BAZAAR INDIA-517121582071,517121582071,10/08/26,,27842.77,109233.67
10/08/26,MMT/IMPS/532036521381/SAHYADRI BAZAAR INDIA,532036521381,10/08/26,,2713.98,111947.65
11/08/26,RTGS CR-YESBR7019613097-SAHYADRI BAZAAR INDIA-120147988858,120147988858,11/08/26,,6531.11,118478.76
11/08/26,NEFT CR-SBIN0083484-SAHYADRI BAZAAR INDIA-7363439r3d3ks,7363439r3d3ks,11/08/26,,481.93,118960.69
12/08/26,RTGS CR-IDFBR1703412335-SAHYADRI BAZAAR INDIA-725297386471,725297386471,12/08/26,,16350.69,135311.38
12/08/26,UPI/904607956987/Settlement/SAHYADRI BAZAAR INDIA,904607956987,12/08/26,,347.33,135658.71
12/08/26,UPI/904607956987-2/Settlement/SAHYADRI BAZAAR INDIA,904607956987-2,12/08/26,,347.33,136006.04
13/08/26,UPI/615208980471/Settlement/SAHYADRI BAZAAR INDIA,615208980471,13/08/26,,11826.37,147832.41
13/08/26,MMT/IMPS/6716183jq26y4/SAHYADRI BAZAAR INDIA,6716183jq26y4,13/08/26,,780.20,148612.61
14/08/26,NEFT CR-INDB0035825-SAHYADRI BAZAAR INDIA-694288228505,694288228505,14/08/26,,624.89,149237.50
14/08/26,NEFT CR-HDFC0034548-SAHYADRI BAZAAR INDIA-694288228505-2,694288228505-2,14/08/26,,624.89,149862.39
14/08/26,MMT/IMPS/9739526h5vbu5/SAHYADRI BAZAAR INDIA,9739526h5vbu5,14/08/26,,10506.64,160369.03
17/08/26,NEFT CR-IDFB0031901-SAHYADRI BAZAAR INDIA-146444735606,146444735606,17/08/26,,35394.17,195763.20
17/08/26,UPI/529368992451/Settlement/SAHYADRI BAZAAR INDIA,529368992451,17/08/26,,1003.92,196767.12
18/08/26,UPI/461508209424/Settlement/SAHYADRI BAZAAR INDIA,461508209424,18/08/26,,-16.20,196750.92
18/08/26,MMT/IMPS/981921822671/SAHYADRI BAZAAR INDIA,981921822671,18/08/26,,7494.28,204245.20
19/08/26,NEFT CR-KKBK0063107-SAHYADRI BAZAAR INDIA-767920500815,767920500815,19/08/26,,4420.06,208665.26
19/08/26,NEFT CR-KKBK0091473-SAHYADRI BAZAAR INDIA-767920500815-2,767920500815-2,19/08/26,,4420.07,213085.33
20/08/26,MMT/IMPS/124153699260/SAHYADRI BAZAAR INDIA,124153699260,20/08/26,,9595.98,222681.31
20/08/26,NEFT CR-UTIB0077533-SAHYADRI BAZAAR INDIA-61112915ht1d3,61112915ht1d3,20/08/26,,-35.45,222645.86
21/08/26,UPI/3773224suz32e/Settlement/SAHYADRI BAZAAR INDIA,3773224suz32e,21/08/26,,9884.92,232530.78
24/08/26,NEFT CR-UTIB0034480-SAHYADRI BAZAAR INDIA-196953369143,196953369143,24/08/26,,3755.17,236285.95
24/08/26,NEFT CR-HDFC0010622-SAHYADRI BAZAAR INDIA-438801644635,438801644635,24/08/26,,39474.28,275760.23
25/08/26,UPI/5405706ur3a2s/Settlement/SAHYADRI BAZAAR INDIA,5405706ur3a2s,25/08/26,,2591.58,278351.81
25/08/26,MMT/IMPS/156425782509/SAHYADRI BAZAAR INDIA,156425782509,25/08/26,,9219.60,287571.41
26/08/26,UPI/9995438m1tncr/Settlement/SAHYADRI BAZAAR INDIA,9995438m1tncr,26/08/26,,13299.31,300870.72
27/08/26,NEFT CR-SBIN0023239-SAHYADRI BAZAAR INDIA-616485444550,616485444550,27/08/26,,6970.11,307840.83
01/09/26,MMT/IMPS/578828497777/SAHYADRI BAZAAR INDIA,578828497777,01/09/26,,618.18,308459.01
