entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_PK5ACDiBZLPKD6,payment,0,27830,28000,INR,144,26,False,True,1785546660,1785719460,setl_0jLvgLaELO1oWZ,,default,Payment via CARD,,,6043058v0nk4r,order_xGAnjq8MJaMhmp,RCPT-IN-100042,card,Discover,IDFB,credit,
pay_oiQjWoKkoUWTGC,payment,0,327900,327900,INR,0,0,False,True,1785549120,1785721920,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_vLsWa5BztdxGVG,RCPT-IN-100148,upi,,,,
pay_sPALOLQ5tyPBBH,payment,0,298400,298400,INR,0,0,False,True,1785550860,1785723660,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_F7FMJeVEhWUSav,RCPT-IN-100171,upi,,,,
pay_1GlYlUA9YoQan9,payment,0,17156,17400,INR,207,37,False,True,1785550980,1785723780,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_EfihYGfGZqGfub,RCPT-IN-100238,upi,,,,
pay_6UM4YVmPY62o6s,payment,0,88184,89600,INR,1200,216,False,True,1785552360,1785725160,setl_0jLvgLaELO1oWZ,,default,Payment via NETBANKING,,,6043058v0nk4r,order_q1iee1hsA2Bb9u,RCPT-IN-100044,netbanking,,,,
pay_PjHR9aJ6IhIlU4,payment,0,24550,24700,INR,127,23,False,True,1785553680,1785726480,setl_0jLvgLaELO1oWZ,,default,Payment via CARD,,,6043058v0nk4r,order_wDKObKFl0cyaQ4,RCPT-IN-100166,card,American Express,UTIB,credit,
pay_pfZnrzVLD3ayCF,payment,0,231000,231000,INR,0,0,False,True,1785556200,1785729000,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_onVxfmZQ8d3AB7,RCPT-IN-100109,upi,,,,
pay_HOdsNoVDSRZ7nS,payment,0,28310,29068,INR,731,27,False,True,1785556860,1785729660,setl_0jLvgLaELO1oWZ,,default,Payment (EUR) via CARD,,,6043058v0nk4r,order_eSEkCXl8KZIXOY,RCPT-IN-100358,card,American Express,INDB,debit,
pay_YN687NElFJvhQ8,payment,0,5000,5000,INR,0,0,False,True,1785560340,1785733140,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_XIm0ogR4HtXOf5,RCPT-IN-100018,upi,,,,
rfnd_rcZTuJaWYUH1VA,refund,5000,0,5000,INR,0,0,False,True,1785560340,1785733140,setl_0jLvgLaELO1oWZ,,default,Refund via UPI,,rfnd_rcZTuJaWYUH1VA,6043058v0nk4r,order_XIm0ogR4HtXOf5,RCPT-IN-100018,upi,,,,
pay_lAqBMLfxjkR3p5,payment,0,89038,91423,INR,2300,85,False,True,1785561300,1785734100,setl_0jLvgLaELO1oWZ,,default,Payment (GBP) via CARD,,,6043058v0nk4r,order_igJkMamHJKhwgG,RCPT-IN-100085,card,Visa,ICIC,credit,
pay_g28vfrNn5NM1eM,payment,0,170200,170200,INR,0,0,False,True,1785564000,1785736800,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_TydRO9wUCaLVaq,RCPT-IN-100165,upi,,,,
pay_Antz8GBx9Yh1av,payment,0,155944,156900,INR,810,146,False,True,1785556200,1785743400,setl_IAjjK7gqeNOuNn,,default,Payment via CARD,,,860655555711,order_cW16B6ovnscJlC,RCPT-IN-100285,card,American Express,INDB,debit,
pay_cu81PXzaSX6VJa,payment,0,122152,122900,INR,634,114,False,True,1785573240,1785746040,setl_0jLvgLaELO1oWZ,,default,Payment via CARD,,,6043058v0nk4r,order_N2qDLFyyjgpjT8,RCPT-IN-100364,card,Discover,IDFB,debit,
pay_XatqMkYuqaV9e9,payment,0,36584,38000,INR,1200,216,False,True,1785576060,1785748860,setl_0jLvgLaELO1oWZ,,default,Payment via NETBANKING,,,6043058v0nk4r,order_l7nKU5YMR5Nyqy,RCPT-IN-100192,netbanking,,,,
pay_Vz8KjjZpLSHI55,payment,0,37470,37700,INR,195,35,False,True,1785580740,1785753540,setl_0jLvgLaELO1oWZ,,default,Payment via CARD,,,6043058v0nk4r,order_zBnUzecfRXh5BW,RCPT-IN-100188,card,MasterCard,YESB,debit,
pay_S0acQlPU19DkvG,payment,0,49000,49000,INR,0,0,False,True,1785746520,1785760920,setl_IAjjK7gqeNOuNn,,default,Payment via UPI,,,860655555711,order_i8qaTmD3HGbEks,RCPT-IN-100229,upi,,,,
pay_htqJKe1zKAUu2u,payment,0,37800,37800,INR,0,0,False,True,1785589380,1785762180,setl_0jLvgLaELO1oWZ,,default,Payment via UPI,,,6043058v0nk4r,order_oX68jCz9IMECsw,RCPT-IN-100326,upi,,,,
rfnd_NWUFgeIWcvHfx9,refund,37800,0,37800,INR,0,0,False,True,1785589380,1785762180,setl_0jLvgLaELO1oWZ,,default,Refund via UPI,,rfnd_NWUFgeIWcvHfx9,6043058v0nk4r,order_oX68jCz9IMECsw,RCPT-IN-100326,upi,,,,
pay_jVxYxdHFO2Ek0A,payment,0,81798,82300,INR,425,77,False,True,1785581040,1785768240,setl_IAjjK7gqeNOuNn,,default,Payment via CARD,,,860655555711,order_GfF2wNkdD0rMtV,RCPT-IN-100123,card,American Express,IDFB,credit,
pay_jNJJoczBbImsQm,payment,0,58244,58600,INR,302,54,False,True,1785596520,1785769320,setl_0jLvgLaELO1oWZ,,default,Payment via CARD,,,6043058v0nk4r,order_ROaNgodDFxAzV5,RCPT-IN-100184,card,MasterCard,UTIB,debit,
pay_v6dFvpcLOGQOpC,payment,0,36775,37000,INR,191,34,False,True,1785683760,1785784560,setl_tZQZeeNJBG3UXw,,default,Payment via CARD,,,572165172167,order_HV5v7s82QtDRoj,RCPT-IN-100043,card,Discover,KKBK,debit,
pay_GhWiOalTlINXn1,payment,0,88600,88600,INR,0,0,False,True,1785630780,1785803580,setl_t9y6UbG7OhWfMi,,default,Payment via UPI,,,131307785kvsb,order_eKIA7zPtJcGEoJ,RCPT-IN-100041,upi,,,,
pay_nGQHhAbP8CSHTW,payment,0,50292,50600,INR,261,47,False,True,1785633900,1785806700,setl_t9y6UbG7OhWfMi,,default,Payment via CARD,,,131307785kvsb,order_pKHDm996g5RFdl,RCPT-IN-100078,card,Visa,ICIC,credit,
pay_XcORLdLK0wd8t5,payment,0,112600,112600,INR,0,0,False,True,1785636060,1785808860,setl_t9y6UbG7OhWfMi,,default,Payment via UPI,,,131307785kvsb,order_WwzImtpzZwjEMT,RCPT-IN-100250,upi,,,,
