entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_OkNJgF0dOhoZS8,payment,0,120191,121600,INR,1194,215,False,True,1785547560,1785720360,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_WvSYY5dyFm2dFC,RCPT-IN-100282,upi,,,,
pay_6gIxgOyJfJuvlz,payment,0,128000,128000,INR,0,0,False,True,1785549060,1785721860,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_xQ2UQjhwWc29x3,RCPT-IN-100329,upi,,,,
pay_pySlU5RYjmkI5J,payment,0,371200,371200,INR,0,0,False,True,1785551520,1785724320,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_voZRQq7L2GXEZ2,RCPT-IN-100241,upi,,,,
pay_pnKaSl21Du1zph,payment,0,769500,769500,INR,0,0,False,True,1785553620,1785726420,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_UIve7wjdnum677,RCPT-IN-100311,upi,,,,
pay_zTaV9qnERKNutC,payment,0,396399,405500,INR,7713,1388,False,True,1785554100,1785726900,setl_DmgLg7noweVzst,,default,Payment via WALLET,,,355125087637,order_muXSVcadVFyp6e,RCPT-IN-100347,wallet,,,,
pay_H8qvKbm3QXMKop,payment,0,153431,156700,INR,2770,499,False,True,1785557040,1785729840,setl_DmgLg7noweVzst,,default,Payment via CARD,,,355125087637,order_xSuggsuVh8qvwz,RCPT-IN-100235,card,Discover,ICIC,debit,
pay_aXCds1WNJDWizN,payment,0,281013,287000,INR,5074,913,False,True,1785561780,1785734580,setl_DmgLg7noweVzst,,default,Payment via CARD,,,355125087637,order_rCOGJerbMQ9twD,RCPT-IN-100342,card,Visa,INDB,debit,
pay_EybAfu1DoFJ7qU,payment,0,239600,239600,INR,0,0,False,True,1785564360,1785737160,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_PrnJak9vcPRhT2,RCPT-IN-100172,upi,,,,
pay_mh2lxwqzFAXE9y,payment,0,442300,442300,INR,0,0,False,True,1785565920,1785738720,setl_DmgLg7noweVzst,,default,Payment via UPI,,,355125087637,order_NZ1OaWVOWZA5xP,RCPT-IN-100085,upi,,,,
pay_TULlHRhhi0kcwz,payment,0,293000,293000,INR,0,0,False,True,1785726960,1785741360,setl_4wi6hafLvEBZtK,,default,Payment via UPI,,,898240456751,order_hQ8FFpOBE6Tw77,RCPT-IN-100089,upi,,,,
