S No.,Value Date,Transaction Date,Cheque Number,Transaction Remarks,Withdrawal Amount (INR ),Deposit Amount (INR ),Balance (INR )
1,03/08/26,03/08/26,,RTGS CR-YESBR5054578614-ORCHID RETAIL PVT LTD-3041566wxrzz4,0.00,132597.40,132597.40
2,03/08/26,03/08/26,,MMT/IMPS/5485171fs1p74/ORCHID RETAIL PVT LTD,0.00,79262.89,211860.29
3,04/08/26,04/08/26,,NEFT CR-IDFB0018381-ORCHID RETAIL PVT LTD-1722873cphsj5,0.00,37449.94,249310.23
4,04/08/26,04/08/26,,UPI/181218031279/Settlement/ORCHID RETAIL PVT LTD,0.00,9888.55,259198.78
5,05/08/26,05/08/26,,MMT/IMPS/5799588x6x89h/ORCHID RETAIL PVT LTD,0.00,78024.95,337223.73
6,05/08/26,05/08/26,,MMT/IMPS/8361666qxhbbd/ORCHID RETAIL PVT LTD,0.00,2242.63,339466.36
7,05/08/26,05/08/26,,MMT/IMPS/8361666qxhbbd-2/ORCHID RETAIL PVT LTD,0.00,2242.64,341709.00
8,06/08/26,06/08/26,,NEFT CR-IDFB0018061-ORCHID RETAIL PVT LTD-991080764735,0.00,239644.83,581353.83
9,07/08/26,07/08/26,,UPI/345286984056/Settlement/ORCHID RETAIL PVT LTD,0.00,143685.13,725038.96
10,10/08/26,10/08/26,,RTGS CR-HDFCR5258341992-ORCHID RETAIL PVT LTD-236980593756,0.00,4727.20,729766.16
11,10/08/26,10/08/26,,NEFT CR-SBIN0034464-ORCHID RETAIL PVT LTD-1179212zbm5tr,0.00,370103.35,1099869.51
12,10/08/26,10/08/26,,MMT/IMPS/112429258141/ORCHID RETAIL PVT LTD,0.00,59024.49,1158894.00
13,11/08/26,11/08/26,,UPI/199280880577/Settlement/ORCHID RETAIL PVT LTD,0.00,84981.70,1243875.70
14,12/08/26,12/08/26,,RTGS CR-IDFBR2057866084-ORCHID RETAIL PVT LTD-798587027782,0.00,113667.98,1357543.68
15,13/08/26,13/08/26,,UPI/701735961502/Settlement/ORCHID RETAIL PVT LTD,0.00,125143.55,1482687.23
16,13/08/26,13/08/26,,UPI/471071643509/Settlement/ORCHID RETAIL PVT LTD,0.00,7144.00,1489831.23
17,14/08/26,14/08/26,,NEFT CR-UTIB0018889-ORCHID RETAIL PVT LTD-555916318030,0.00,73818.70,1563649.93
18,17/08/26,17/08/26,,RTGS CR-ICICR6549457276-ORCHID RETAIL PVT LTD-739834083202,0.00,21772.83,1585422.76
19,17/08/26,17/08/26,,NEFT CR-ICIC0070847-ORCHID RETAIL PVT LTD-330282655891,0.00,240589.16,1826011.92
20,18/08/26,18/08/26,,UPI/184844787005/Settlement/ORCHID RETAIL PVT LTD,0.00,140926.07,1966937.99
21,18/08/26,18/08/26,,NEFT CR-YESB0096688-ORCHID RETAIL PVT LTD-4555419bh2t51,0.00,16074.95,1983012.94
22,19/08/26,19/08/26,,MMT/IMPS/2111853udxxrd/ORCHID RETAIL PVT LTD,0.00,72493.78,2055506.72
23,20/08/26,20/08/26,,NEFT CR-IDFB0015406-ORCHID RETAIL PVT LTD-440428225947,0.00,96309.75,2151816.47
24,20/08/26,20/08/26,,NEFT CR-IDFB0040202-ORCHID RETAIL PVT LTD-67364394zg2k1,0.00,8896.13,2160712.60
25,21/08/26,21/08/26,,NEFT CR-KKBK0064034-ORCHID RETAIL PVT LTD-2476688tmaw2w,0.00,160307.24,2321019.84
26,24/08/26,24/08/26,,NEFT CR-UTIB0098886-ORCHID RETAIL PVT LTD-440279914205,0.00,315103.71,2636123.55
27,25/08/26,25/08/26,,RTGS CR-KKBKR9505061938-ORCHID RETAIL PVT LTD-603426074742,0.00,5791.63,2641915.18
28,25/08/26,25/08/26,,NEFT CR-SBIN0023880-ORCHID RETAIL PVT LTD-274564315216,0.00,89722.75,2731637.93
29,26/08/26,26/08/26,,MMT/IMPS/1241382qxw2sr/ORCHID RETAIL PVT LTD,0.00,129462.29,2861100.22
30,27/08/26,27/08/26,,RTGS CR-YESBR4728218464-ORCHID RETAIL PVT LTD-344585191528,0.00,78749.67,2939849.89
31,31/08/26,31/08/26,,MMT/IMPS/920152780091/ORCHID RETAIL PVT LTD,0.00,34112.45,2973962.34
