entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_zKxeZLDPwfV08b,payment,0,1293830,1310500,INR,14127,2543,False,True,1785555540,1785728340,setl_O2f7sGjj627E5P,,default,Payment via CARD,,,3041566wxrzz4,order_95kwXNowUpHiTN,RCPT-IN-100083,card,American Express,INDB,debit,
pay_HoozHx9o7ZDG3V,payment,0,1047001,1066700,INR,16694,3005,False,True,1785558780,1785731580,setl_O2f7sGjj627E5P,,default,Payment via WALLET,,,3041566wxrzz4,order_PTEPJHWTj9ITQP,RCPT-IN-100196,wallet,,,,
pay_LpUOTGyyJqUU50,payment,0,1745362,1778200,INR,27829,5009,False,True,1785636840,1785737640,setl_gYB4TI0Rg5h4nm,,default,Payment via WALLET,,,5485171fs1p74,order_nLrW9vVevlDymP,RCPT-IN-100202,wallet,,,,
pay_sAnxt2qoPtkrOP,payment,0,634723,642900,INR,6930,1247,False,True,1785565260,1785738060,setl_O2f7sGjj627E5P,,default,Payment via CARD,,,3041566wxrzz4,order_FgnvHBqpzlboaO,RCPT-IN-100304,card,MasterCard,KKBK,debit,
pay_szaEs915ovPiSb,payment,0,2157100,2157100,INR,0,0,False,True,1785572280,1785745080,setl_O2f7sGjj627E5P,,default,Payment via UPI,,,3041566wxrzz4,order_aTx3jnjD0SGBoI,RCPT-IN-100002,upi,,,,
pay_XSM4lvfn41loiq,payment,0,1440800,1440800,INR,0,0,False,True,1785575880,1785748680,setl_O2f7sGjj627E5P,,default,Payment via UPI,,,3041566wxrzz4,order_gEJ5zoTgO7xhxC,RCPT-IN-100343,upi,,,,
pay_a758ggxAlfuWwl,payment,0,791410,806300,INR,12619,2271,False,True,1785581940,1785754740,setl_O2f7sGjj627E5P,,default,Payment via WALLET,,,3041566wxrzz4,order_Ybchn2talcXmfd,RCPT-IN-100047,wallet,,,,
pay_O1T4i3s3RdFbge,payment,0,1128100,1128100,INR,0,0,False,True,1785741660,1785756060,setl_gYB4TI0Rg5h4nm,,default,Payment via UPI,,,5485171fs1p74,order_hMNMXYejBJkGED,RCPT-IN-100049,upi,,,,
pay_G3NiHTptm8MHoC,payment,0,939000,939000,INR,0,0,False,True,1785657000,1785757800,setl_gYB4TI0Rg5h4nm,,default,Payment via UPI,,,5485171fs1p74,order_Y1SfyKkyfZ8ngB,RCPT-IN-100271,upi,,,,
pay_lO5iyVEDu7EOPr,payment,0,2465500,2465500,INR,0,0,False,True,1785657600,1785758400,setl_gYB4TI0Rg5h4nm,,default,Payment via UPI,,,5485171fs1p74,order_qlPqi2QZRsddCD,RCPT-IN-100032,upi,,,,
