Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
03/08/26,NEFT CR-INDB0049967-SAHYADRI BAZAAR INDIA-7349795m97qrq,7349795m97qrq,03/08/26,,12564.48,12564.48
03/08/26,MMT/IMPS/937897767622/SAHYADRI BAZAAR INDIA,937897767622,03/08/26,,19183.30,31747.78
04/08/26,NEFT CR-KKBK0020614-SAHYADRI BAZAAR INDIA-131307785kvsb,131307785kvsb,04/08/26,,14461.40,46209.18
05/08/26,UPI/8554746j20rbr/Settlement/SAHYADRI BAZAAR INDIA,8554746j20rbr,05/08/26,,18445.95,64655.13
05/08/26,MMT/IMPS/7174766jx60bc/SAHYADRI BAZAAR INDIA,7174766jx60bc,05/08/26,,1293.74,65948.87
06/08/26,UPI/83293256jbn43/Settlement/SAHYADRI BAZAAR INDIA,83293256jbn43,06/08/26,,12503.46,78452.33
06/08/26,NEFT CR-UTIB0011143-SAHYADRI BAZAAR INDIA-442560390554,442560390554,06/08/26,,1209.00,79661.33
07/08/26,RTGS CR-KKBKR7244378542-SAHYADRI BAZAAR INDIA-27616427y3j8v,27616427y3j8v,07/08/26,,25607.85,105269.18
10/08/26,UPI/145442649762/Settlement/SAHYADRI BAZAAR INDIA,145442649762,10/08/26,,45582.12,150851.30
10/08/26,RTGS CR-INDBR3480794877-SAHYADRI BAZAAR INDIA-767105342567,767105342567,10/08/26,,1476.11,152327.41
11/08/26,RTGS CR-SBINR7739068989-SAHYADRI BAZAAR INDIA-81500637h3z0b,81500637h3z0b,11/08/26,,18983.01,171310.42
11/08/26,NEFT CR-UTIB0070195-SAHYADRI BAZAAR INDIA-7363439r3d3ks,7363439r3d3ks,11/08/26,,911.99,172222.41
11/08/26,NEFT CR-INDB0055718-SAHYADRI BAZAAR INDIA-7363439r3d3ks-2,7363439r3d3ks-2,11/08/26,,912.00,173134.41
12/08/26,MMT/IMPS/725297386471/SAHYADRI BAZAAR INDIA,725297386471,12/08/26,,13354.85,186489.26
12/08/26,MMT/IMPS/753233007642/SAHYADRI BAZAAR INDIA,753233007642,12/08/26,,2074.00,188563.26
13/08/26,UPI/570876586369/Settlement/SAHYADRI BAZAAR INDIA,570876586369,13/08/26,,13482.16,202045.42
14/08/26,UPI/483858846753/Settlement/SAHYADRI BAZAAR INDIA,483858846753,14/08/26,,12805.79,214851.21
14/08/26,NEFT CR-INDB0019872-SAHYADRI BAZAAR INDIA-591089614839,591089614839,14/08/26,,1738.00,216589.21
17/08/26,UPI/429331958219/Settlement/SAHYADRI BAZAAR INDIA,429331958219,17/08/26,,5199.61,221788.82
17/08/26,NEFT CR-YESB0048619-SAHYADRI BAZAAR INDIA-505563641019,505563641019,17/08/26,,4063.41,225852.23
17/08/26,RTGS CR-SBINR3504622702-SAHYADRI BAZAAR INDIA-231162800951,231162800951,17/08/26,,40911.36,266763.59
18/08/26,RTGS CR-SBINR5800449553-SAHYADRI BAZAAR INDIA-994055510211,994055510211,18/08/26,,0.00,266763.59
18/08/26,UPI/102331144389/Settlement/SAHYADRI BAZAAR INDIA,102331144389,18/08/26,,12816.65,279580.24
19/08/26,RTGS CR-YESBR8732957600-SAHYADRI BAZAAR INDIA-466514920780,466514920780,19/08/26,,2121.70,281701.94
19/08/26,MMT/IMPS/722540252584/SAHYADRI BAZAAR INDIA,722540252584,19/08/26,,2470.14,284172.08
20/08/26,UPI/209593092065/Settlement/SAHYADRI BAZAAR INDIA,209593092065,20/08/26,,9149.83,293321.91
21/08/26,RTGS CR-ICICR1075752627-SAHYADRI BAZAAR INDIA-929965444199,929965444199,21/08/26,,14449.80,307771.71
21/08/26,MMT/IMPS/299845810r0c5/SAHYADRI BAZAAR INDIA,299845810r0c5,21/08/26,,1015.55,308787.26
24/08/26,NEFT CR-UTIB0030582-SAHYADRI BAZAAR INDIA-711601436547,711601436547,24/08/26,,8329.62,317116.88
24/08/26,MMT/IMPS/345176016432/SAHYADRI BAZAAR INDIA,345176016432,24/08/26,,50625.98,367742.86
25/08/26,MMT/IMPS/746020760477/SAHYADRI BAZAAR INDIA,746020760477,25/08/26,,14989.03,382731.89
25/08/26,MMT/IMPS/626500983331/SAHYADRI BAZAAR INDIA,626500983331,25/08/26,,3346.00,386077.89
26/08/26,MMT/IMPS/8253915wvn34n/SAHYADRI BAZAAR INDIA,8253915wvn34n,26/08/26,,17435.91,403513.80
27/08/26,UPI/17436637c93be/Settlement/SAHYADRI BAZAAR INDIA,17436637c93be,27/08/26,,5408.96,408922.76
