Details,Posting Date,Description,Amount,Type,Balance
CREDIT,08/03/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:279951172258033,210.33,ACH_CREDIT,210.33
CREDIT,08/03/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:580839378352339,-0.49,ACH_CREDIT,209.84
CREDIT,08/04/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:362284850282801,164.55,ACH_CREDIT,374.39
CREDIT,08/04/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:748931486240096,3.39,ACH_CREDIT,377.78
CREDIT,08/04/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:748931486240096-2,3.39,ACH_CREDIT,381.17
CREDIT,08/05/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:PNCB DESC:PAYOUT SEC:CCD TRACE#:677346277452230,237.78,ACH_CREDIT,618.95
CREDIT,08/06/2026,FEDWIRE CREDIT REF 830087756402659 ORIG CASCADE COLLECTIVE CO.,24.23,ACH_CREDIT,643.18
CREDIT,08/06/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:WFBI DESC:PAYOUT SEC:CCD TRACE#:929487889837136,103.19,ACH_CREDIT,746.37
CREDIT,08/07/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:997696467947011,176.97,ACH_CREDIT,923.34
CREDIT,08/10/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:193228693611278,9.76,ACH_CREDIT,933.10
CREDIT,08/10/2026,FEDWIRE CREDIT REF 221540305461063 ORIG CASCADE COLLECTIVE CO.,535.30,ACH_CREDIT,1468.40
CREDIT,08/10/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:796938741620935,19.14,ACH_CREDIT,1487.54
CREDIT,08/11/2026,FEDWIRE CREDIT REF 859303907438610 ORIG CASCADE COLLECTIVE CO.,61.54,ACH_CREDIT,1549.08
CREDIT,08/12/2026,FEDWIRE CREDIT REF 721478672989543 ORIG CASCADE COLLECTIVE CO.,139.77,ACH_CREDIT,1688.85
CREDIT,08/13/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CAPI DESC:PAYOUT SEC:CCD TRACE#:956911584131580,32.01,ACH_CREDIT,1720.86
CREDIT,08/13/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:854506631508558,249.03,ACH_CREDIT,1969.89
CREDIT,08/14/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:139109492532041,147.98,ACH_CREDIT,2117.87
CREDIT,08/17/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:950602693264278,560.10,ACH_CREDIT,2677.97
CREDIT,08/18/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:573684534465636,116.03,ACH_CREDIT,2794.00
CREDIT,08/19/2026,FEDWIRE CREDIT REF 950133820439719 ORIG CASCADE COLLECTIVE CO.,135.75,ACH_CREDIT,2929.75
CREDIT,08/20/2026,FEDWIRE CREDIT REF 713594736038467 ORIG CASCADE COLLECTIVE CO.,391.04,ACH_CREDIT,3320.79
CREDIT,08/21/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:549875342853734,40.44,ACH_CREDIT,3361.23
CREDIT,08/21/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:CHAS DESC:PAYOUT SEC:CCD TRACE#:316486923120894,209.36,ACH_CREDIT,3570.59
CREDIT,08/24/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:389931370264308,449.30,ACH_CREDIT,4019.89
CREDIT,08/24/2026,FEDWIRE CREDIT REF 567685805405977 ORIG CASCADE COLLECTIVE CO.,7.70,ACH_CREDIT,4027.59
CREDIT,08/25/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:419336140753218,7.23,ACH_CREDIT,4034.82
CREDIT,08/25/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:599653919356188,197.01,ACH_CREDIT,4231.83
CREDIT,08/26/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:BOFA DESC:PAYOUT SEC:CCD TRACE#:509334456071462,246.70,ACH_CREDIT,4478.53
CREDIT,08/27/2026,ORIG CO NAME:CASCADE COLLECTIVE CO. ORIG ID:WFBI DESC:PAYOUT SEC:CCD TRACE#:691481057416270,207.28,ACH_CREDIT,4685.81
