balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_mK931fmDUX8kuc,charge,pay_mK931fmDUX8kuc,7.09,usd,7.09,0.47,6.62,usd,2026-08-01 06:00:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,wallet,,order_erKJ9zHX9pKoza,RCPT-US-100058,1.000000
txn_QrTKYXOyFrdlyG,charge,pay_QrTKYXOyFrdlyG,23.04,usd,23.04,0.86,22.18,usd,2026-08-01 06:54:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,wallet,,order_HNhQ2CTopkf7fj,RCPT-US-100279,1.000000
txn_7nkpN6wuwyF6B1,charge,pay_7nkpN6wuwyF6B1,11.51,usd,11.51,0.59,10.92,usd,2026-08-01 07:04:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Discover,order_DtuBqrI26bz4DL,RCPT-US-100142,1.000000
txn_GKcK8pp7ewn1ww,refund,rfnd_GKcK8pp7ewn1ww,11.51,usd,-11.51,0.00,-11.51,usd,2026-08-01 07:04:00,2026-08-03,Refund,refund,po_duOOQzVEF6I3XB,card,Discover,order_DtuBqrI26bz4DL,RCPT-US-100142,1.000000
txn_dZ58z699UkKvhq,charge,pay_dZ58z699UkKvhq,11.13,usd,11.13,0.06,11.07,usd,2026-08-01 07:51:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,ach,,order_9ZnfhgiN8Qf2K2,RCPT-US-100302,1.000000
txn_Z7770h2dcPyGOJ,charge,pay_Z7770h2dcPyGOJ,18.63,usd,18.63,0.77,17.86,usd,2026-08-01 08:02:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Visa,order_JhrG80usp2w5dF,RCPT-US-100022,1.000000
txn_JRYREgQWkkhl9I,charge,pay_JRYREgQWkkhl9I,5.70,usd,5.70,0.03,5.67,usd,2026-08-01 09:29:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,ach,,order_sC6j5xG3Mxboko,RCPT-US-100098,1.000000
txn_9qFht2uCmIBh7f,charge,pay_9qFht2uCmIBh7f,7.07,usd,7.07,0.48,6.59,usd,2026-08-01 09:31:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Visa,order_c8mq0QR6Ba7kRh,RCPT-US-100236,1.000000
txn_m996g5RFdli7Jc,charge,pay_m996g5RFdli7Jc,8.18,usd,8.18,0.50,7.68,usd,2026-08-01 12:15:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,wallet,,order_HgI4S6akSRPvFv,RCPT-US-100072,1.000000
txn_ZjEKDuN0nlDzgl,charge,pay_ZjEKDuN0nlDzgl,14.06,usd,14.06,0.65,13.41,usd,2026-08-01 14:17:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Discover,order_0mASSBalnVvxrf,RCPT-US-100382,1.000000
txn_wvksotKedd2SZC,charge,pay_wvksotKedd2SZC,6.54,usd,6.54,0.46,6.08,usd,2026-08-01 14:26:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,American Express,order_Gd8nULo3g4B2u0,RCPT-US-100253,1.000000
txn_KGTQj09BBG7svM,charge,pay_KGTQj09BBG7svM,7.48,eur,7.99,0.66,7.33,usd,2026-08-01 14:51:00,2026-08-03,Payment (fx EUR->USD),charge,po_duOOQzVEF6I3XB,card,MasterCard,order_QB1mokdhPscGW3,RCPT-US-100069,1.068200
txn_N7HRl4vg9Ur9YZ,charge,pay_N7HRl4vg9Ur9YZ,13.74,usd,13.74,0.63,13.11,usd,2026-08-01 15:12:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,wallet,,order_sBEm1sbH1v5RgJ,RCPT-US-100183,1.000000
txn_wJ0HgV7FIHsG3z,charge,pay_wJ0HgV7FIHsG3z,6.45,usd,6.45,0.03,6.42,usd,2026-08-01 15:16:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,ach,,order_44mCmzf1PpnTH0,RCPT-US-100307,1.000000
txn_NmDJAkSN45wxQd,charge,pay_NmDJAkSN45wxQd,7.72,usd,7.72,0.49,7.23,usd,2026-08-01 11:19:00,2026-08-03,Payment,charge,po_0TSIzblPPOs7aP,card,Discover,order_ZLaltLSpWcgtPw,RCPT-US-100354,1.000000
txn_ejCXHLt3JER6OG,refund,rfnd_ejCXHLt3JER6OG,7.72,usd,-7.72,0.00,-7.72,usd,2026-08-01 11:19:00,2026-08-03,Refund,refund,po_0TSIzblPPOs7aP,card,Discover,order_ZLaltLSpWcgtPw,RCPT-US-100354,1.000000
txn_4M9afZcxn5lVsh,charge,pay_4M9afZcxn5lVsh,9.48,cad,6.78,0.61,6.17,usd,2026-08-01 16:04:00,2026-08-03,Payment (fx CAD->USD),charge,po_duOOQzVEF6I3XB,card,MasterCard,order_v0FKXUXE0TgLHp,RCPT-US-100077,0.715400
txn_wjKzbfUekfrv5v,charge,pay_wjKzbfUekfrv5v,27.90,usd,27.90,1.00,26.90,usd,2026-08-01 16:50:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Discover,order_eVlxNYrr0YA5s8,RCPT-US-100333,1.000000
txn_YsidYyzd1M89OR,charge,pay_YsidYyzd1M89OR,34.61,usd,34.61,1.17,33.44,usd,2026-08-01 18:03:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,MasterCard,order_Rv91gPIsTZCOGN,RCPT-US-100200,1.000000
txn_X85AbasDgGf9l1,charge,pay_X85AbasDgGf9l1,21.22,usd,21.22,0.83,20.39,usd,2026-08-01 20:40:00,2026-08-03,Payment,charge,po_duOOQzVEF6I3XB,card,Discover,order_2u3CZsIfxfLJxg,RCPT-US-100237,1.000000
txn_IDzgk7WtkcsQVI,charge,pay_IDzgk7WtkcsQVI,5.57,usd,5.57,0.44,5.13,usd,2026-08-02 06:10:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,Visa,order_hpswmZVFVROtax,RCPT-US-100384,1.000000
txn_rLRWzBQCABugjM,charge,pay_rLRWzBQCABugjM,7.38,usd,7.38,0.48,6.90,usd,2026-08-02 08:12:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,wallet,,order_geP7cGq0pbqfi1,RCPT-US-100012,1.000000
txn_I34E0mfLA7ujvz,charge,pay_I34E0mfLA7ujvz,3.52,usd,3.52,0.02,3.50,usd,2026-08-02 08:27:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,ach,,order_KfOrurvSzNi1KJ,RCPT-US-100117,1.000000
txn_8ZtjCasgjCY4tl,charge,pay_8ZtjCasgjCY4tl,21.69,eur,23.17,1.68,21.49,usd,2026-08-02 09:13:00,2026-08-04,Payment (fx EUR->USD),charge,po_tnPNbLrXXNQhhu,card,American Express,order_4WCS8Lx7q1wY7m,RCPT-US-100292,1.068200
txn_CK7l2LUA530dTa,charge,pay_CK7l2LUA530dTa,13.35,usd,13.35,0.64,12.71,usd,2026-08-02 09:56:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,MasterCard,order_mQ94f8EPrYrtlO,RCPT-US-100080,1.000000
txn_kmzqhV9pAt5ttf,charge,pay_kmzqhV9pAt5ttf,10.72,usd,10.72,0.56,10.16,usd,2026-08-02 11:27:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,wallet,,order_j2jJAVet10ZXkB,RCPT-US-100251,1.000000
txn_QiJKKJJHlyzHKT,charge,pay_QiJKKJJHlyzHKT,7.40,usd,7.40,0.49,6.91,usd,2026-08-02 12:39:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,American Express,order_gkkGjfadiwAuDP,RCPT-US-100184,1.000000
txn_So7V9VhkONjy0N,charge,pay_So7V9VhkONjy0N,32.72,usd,32.72,1.12,31.60,usd,2026-08-02 13:37:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,MasterCard,order_S1zkitBOxLBzgR,RCPT-US-100134,1.000000
txn_rnH4jxQIvYX5OX,charge,pay_rnH4jxQIvYX5OX,10.74,usd,10.74,0.57,10.17,usd,2026-08-04 09:48:00,2026-08-04,Payment,charge,po_QSeLuxAHpCI3Nl,card,American Express,order_CqcHwQq7YD2aTb,RCPT-US-100381,1.000000
txn_rX54bAAQofoK1M,charge,pay_rX54bAAQofoK1M,11.26,usd,11.26,0.58,10.68,usd,2026-08-02 14:13:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,Visa,order_e0I3Tbtou7NJpZ,RCPT-US-100206,1.000000
txn_tSZcfDbF51ZwUM,charge,pay_tSZcfDbF51ZwUM,1111.55,inr,13.05,1.02,12.03,usd,2026-08-02 15:30:00,2026-08-04,Payment (fx INR->USD),charge,po_tnPNbLrXXNQhhu,card,Discover,order_yUJEQUWhwhgM2U,RCPT-US-100349,0.011740
txn_HGbEksNl1u3Rrf,charge,pay_HGbEksNl1u3Rrf,8.28,usd,8.28,0.50,7.78,usd,2026-08-02 15:47:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,wallet,,order_SLkbBSdlUTjRop,RCPT-US-100210,1.000000
txn_swHGETh8lMYQOy,charge,pay_swHGETh8lMYQOy,3.48,cad,2.49,0.41,2.08,usd,2026-08-02 16:45:00,2026-08-04,Payment (fx CAD->USD),charge,po_tnPNbLrXXNQhhu,card,Discover,order_mAAiTdR9Up14Pe,RCPT-US-100023,0.715400
txn_f4rpaFQOqb7XOf,refund,rfnd_f4rpaFQOqb7XOf,3.48,cad,-2.49,0.00,-2.49,usd,2026-08-02 16:45:00,2026-08-04,Refund (fx CAD->USD),refund,po_tnPNbLrXXNQhhu,card,Discover,order_mAAiTdR9Up14Pe,RCPT-US-100023,0.715400
txn_uHF7KVMLp7hvdC,charge,pay_uHF7KVMLp7hvdC,11.48,usd,11.48,0.59,10.89,usd,2026-08-02 17:03:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,American Express,order_TquY1XVcKGAFRF,RCPT-US-100025,1.000000
txn_NfMTx0MOdOQw4S,charge,pay_NfMTx0MOdOQw4S,10.41,usd,10.41,0.56,9.85,usd,2026-08-02 17:21:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,card,Visa,order_G8nfnL5Ofa6qD8,RCPT-US-100024,1.000000
txn_FHfcqEocybODPk,charge,pay_FHfcqEocybODPk,11.39,usd,11.39,0.58,10.81,usd,2026-08-02 19:04:00,2026-08-04,Payment,charge,po_tnPNbLrXXNQhhu,wallet,,order_x9hZBuTO89RISS,RCPT-US-100396,1.000000
