balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_lG6CrmPeXXeuHa,charge,pay_lG6CrmPeXXeuHa,16.79,cad,12.01,0.82,11.19,usd,2026-08-01 08:20:00,2026-08-03,Payment (fx CAD->USD),charge,po_lCXIovQ8xXnSzw,card,MasterCard,order_7beOMKfwzfROlD,RCPT-US-100148,0.715400
txn_QkdVP6NMsSE3RD,charge,pay_QkdVP6NMsSE3RD,22.22,usd,22.22,0.81,21.41,usd,2026-08-03 10:18:00,2026-08-03,Payment,charge,po_CfR1aqMGdvbLDA,card,Visa,order_EfSfpSJKOfLB5A,RCPT-US-100245,1.000000
txn_sOrR0MAMqFLhtL,charge,pay_sOrR0MAMqFLhtL,46.90,usd,46.90,1.38,45.52,usd,2026-08-01 15:25:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,Visa,order_lprmynyeenJSgd,RCPT-US-100143,1.000000
txn_7KFxhK96CGHT3T,charge,pay_7KFxhK96CGHT3T,40.17,usd,40.17,1.22,38.95,usd,2026-08-01 15:31:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,American Express,order_9BaCJ1Lsmh2lxw,RCPT-US-100079,1.000000
txn_TSG9rivrp2tomj,charge,pay_TSG9rivrp2tomj,23.26,usd,23.26,0.83,22.43,usd,2026-08-01 16:01:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,American Express,order_BTyl3WKsY0jW0u,RCPT-US-100247,1.000000
txn_AjQHeueNTVsb1A,charge,pay_AjQHeueNTVsb1A,69.41,usd,69.41,1.89,67.52,usd,2026-08-01 16:57:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,MasterCard,order_B1YJP5hOX9tlZ2,RCPT-US-100374,1.000000
txn_cE3E6ydH8UH80T,charge,pay_cE3E6ydH8UH80T,17.70,usd,17.70,0.71,16.99,usd,2026-08-02 13:03:00,2026-08-03,Payment,charge,po_CfR1aqMGdvbLDA,card,Visa,order_PbmQetOFMaF38a,RCPT-US-100358,1.000000
txn_v5pySlU5RYjmkI,charge,pay_v5pySlU5RYjmkI,29.36,usd,29.36,0.97,28.39,usd,2026-08-02 15:16:00,2026-08-03,Payment,charge,po_CfR1aqMGdvbLDA,card,American Express,order_5JvoZRQq7L2GXE,RCPT-US-100222,1.000000
txn_xjz4ulacrchpSU,charge,pay_xjz4ulacrchpSU,18.17,usd,18.17,0.72,17.45,usd,2026-08-01 20:08:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,Visa,order_N1RaOjzhbXRAzR,RCPT-US-100154,1.000000
txn_bBqjBW3M6odJck,charge,pay_bBqjBW3M6odJck,10.07,usd,10.07,0.53,9.54,usd,2026-08-01 20:23:00,2026-08-03,Payment,charge,po_lCXIovQ8xXnSzw,card,Visa,order_hLkSzYx0WmNU79,RCPT-US-100390,1.000000
txn_XAcihKBaGZy1jp,charge,pay_XAcihKBaGZy1jp,32.18,usd,32.18,1.04,31.14,usd,2026-08-02 06:18:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,Visa,order_fGWYwRgYy91s5y,RCPT-US-100124,1.000000
txn_X1JgZGvyFAK9ps,charge,pay_X1JgZGvyFAK9ps,51.98,usd,51.98,1.49,50.49,usd,2026-08-02 07:29:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,Discover,order_nyv5Qqzuex4Hbd,RCPT-US-100066,1.000000
txn_ByP2UojW6FgS3I,charge,pay_ByP2UojW6FgS3I,37.65,usd,37.65,1.51,36.14,usd,2026-08-02 07:59:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,Discover,order_aI1aPjYJO0Y5fm,RCPT-US-100362,1.000000
txn_p88HYT0a6aLNq3,charge,pay_p88HYT0a6aLNq3,14.39,usd,14.39,0.63,13.76,usd,2026-08-02 08:22:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,MasterCard,order_lTjDmIEbNI9ilu,RCPT-US-100202,1.000000
txn_TIOnXtN4QgODCE,charge,pay_TIOnXtN4QgODCE,58.63,usd,58.63,1.65,56.98,usd,2026-08-02 08:52:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,Discover,order_FJIGLTStJM2dXQ,RCPT-US-100219,1.000000
txn_w5PupaXg92HDF5,charge,pay_w5PupaXg92HDF5,25.78,usd,25.78,0.84,24.94,usd,2026-08-02 08:53:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,wallet,,order_IMCKGjaImjckDt,RCPT-US-100368,1.000000
txn_KgLH4oWJFbTBT1,charge,pay_KgLH4oWJFbTBT1,42.19,usd,42.19,0.39,41.80,usd,2026-08-02 09:24:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,ach,,order_nJVWO9yLfEk8Ca,RCPT-US-100313,1.000000
txn_eNZNmdwTecforL,charge,pay_eNZNmdwTecforL,17.73,usd,17.73,0.71,17.02,usd,2026-08-02 09:26:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,MasterCard,order_3fNiYaEDsRX8Rn,RCPT-US-100045,1.000000
txn_bhXEhTlXIUdygH,charge,pay_bhXEhTlXIUdygH,26.77,cad,19.15,1.12,18.03,usd,2026-08-02 10:42:00,2026-08-04,Payment (fx CAD->USD),charge,po_mGfMQUPeEFi60O,card,Visa,order_wrSX9upnigzKhV,RCPT-US-100337,0.715400
txn_lgYZuz4UZcNxkH,charge,pay_lgYZuz4UZcNxkH,28.93,usd,28.93,0.96,27.97,usd,2026-08-02 11:09:00,2026-08-04,Payment,charge,po_mGfMQUPeEFi60O,card,American Express,order_BycjkrarEPt4dn,RCPT-US-100339,1.000000
