Details,Posting Date,Description,Amount,Type,Balance
CREDIT,08/03/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:BOFA DESC:PAYOUT SEC:CCD TRACE#:548410733045356,652.93,ACH_CREDIT,652.93
CREDIT,08/03/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CHAS DESC:PAYOUT SEC:CCD TRACE#:979046624869742,261.64,ACH_CREDIT,914.57
CREDIT,08/04/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:438026607973623,1019.07,ACH_CREDIT,1933.64
CREDIT,08/04/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:WFBI DESC:PAYOUT SEC:CCD TRACE#:444087324941745,82.92,ACH_CREDIT,2016.56
CREDIT,08/05/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:795439746134245,285.44,ACH_CREDIT,2302.00
CREDIT,08/05/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:886189490670655,640.61,ACH_CREDIT,2942.61
CREDIT,08/06/2026,FEDWIRE CREDIT REF 948532739018467 ORIG HUDSON OUTFITTERS INC.,931.75,ACH_CREDIT,3874.36
CREDIT,08/06/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:BOFA DESC:PAYOUT SEC:CCD TRACE#:950260909551743,21.43,ACH_CREDIT,3895.79
CREDIT,08/06/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:950260909551743-2,21.43,ACH_CREDIT,3917.22
CREDIT,08/06/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:PNCB DESC:PAYOUT SEC:CCD TRACE#:950260909551743-3,21.45,ACH_CREDIT,3938.67
CREDIT,08/07/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:871515632097562,332.20,ACH_CREDIT,4270.87
CREDIT,08/10/2026,FEDWIRE CREDIT REF 713229278673036 ORIG HUDSON OUTFITTERS INC.,3798.58,ACH_CREDIT,8069.45
CREDIT,08/10/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:314954720577411,190.01,ACH_CREDIT,8259.46
CREDIT,08/11/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:WFBI DESC:PAYOUT SEC:CCD TRACE#:504139476118253,240.11,ACH_CREDIT,8499.57
CREDIT,08/11/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:834625113420817,1368.99,ACH_CREDIT,9868.56
CREDIT,08/12/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:882022106621003,1714.17,ACH_CREDIT,11582.73
CREDIT,08/13/2026,FEDWIRE CREDIT REF 209359459017959 ORIG HUDSON OUTFITTERS INC.,983.87,ACH_CREDIT,12566.60
CREDIT,08/14/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:130357182527491,1097.34,ACH_CREDIT,13663.94
CREDIT,08/17/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CITI DESC:PAYOUT SEC:CCD TRACE#:967212748485156,72.34,ACH_CREDIT,13736.28
CREDIT,08/17/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:PNCB DESC:PAYOUT SEC:CCD TRACE#:103405391325377,3761.84,ACH_CREDIT,17498.12
CREDIT,08/18/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:USBK DESC:PAYOUT SEC:CCD TRACE#:914059400099839,824.42,ACH_CREDIT,18322.54
CREDIT,08/19/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:PNCB DESC:PAYOUT SEC:CCD TRACE#:142660910132738,590.09,ACH_CREDIT,18912.63
CREDIT,08/19/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:PNCB DESC:PAYOUT SEC:CCD TRACE#:541041589300680,20.52,ACH_CREDIT,18933.15
CREDIT,08/20/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:CHAS DESC:PAYOUT SEC:CCD TRACE#:904850558824025,1113.80,ACH_CREDIT,20046.95
CREDIT,08/21/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:WFBI DESC:PAYOUT SEC:CCD TRACE#:741793578450674,1861.33,ACH_CREDIT,21908.28
CREDIT,08/21/2026,FEDWIRE CREDIT REF 762349564609106 ORIG HUDSON OUTFITTERS INC.,73.68,ACH_CREDIT,21981.96
CREDIT,08/24/2026,ORIG CO NAME:HUDSON OUTFITTERS INC. ORIG ID:TDBK DESC:PAYOUT SEC:CCD TRACE#:859103747008291,2903.86,ACH_CREDIT,24885.82
