balance_transaction_id,type,source_id,customer_facing_amount,customer_facing_currency,gross,fee,net,currency,created_utc,available_on_utc,description,reporting_category,automatic_payout_id,payment_method_type,card_brand,order_id,order_receipt,fx_rate
txn_73kqg1xYuqzOFs,charge,pay_73kqg1xYuqzOFs,52.74,usd,52.74,1.26,51.48,usd,2026-08-01 06:29:00,2026-08-03,Payment,charge,po_wRgWOZnscOuGFl,card,Visa,order_rCNryEu7z7l02u,RCPT-US-100295,1.000000
txn_3eUKCj2OBMYwEH,charge,pay_3eUKCj2OBMYwEH,185.85,aud,120.21,4.89,115.32,usd,2026-08-01 06:41:00,2026-08-03,Payment (fx AUD->USD),charge,po_wRgWOZnscOuGFl,card,Discover,order_gTbvgKzb0BZQV5,RCPT-US-100163,0.646800
txn_Nni795XoB7VcNI,refund,rfnd_Nni795XoB7VcNI,185.85,aud,-60.10,0.00,-60.10,usd,2026-08-01 06:41:00,2026-08-03,Refund (fx AUD->USD),refund,po_wRgWOZnscOuGFl,card,Discover,order_gTbvgKzb0BZQV5,RCPT-US-100163,0.646800
txn_wdNwpO7pT9dIYc,charge,pay_wdNwpO7pT9dIYc,185.32,usd,185.32,3.67,181.65,usd,2026-08-01 11:49:00,2026-08-03,Payment,charge,po_wRgWOZnscOuGFl,card,Visa,order_Gi6GXJxWpm3HBH,RCPT-US-100275,1.000000
txn_POhG5n42m15zXQ,charge,pay_POhG5n42m15zXQ,78.86,usd,78.86,1.73,77.13,usd,2026-08-01 12:45:00,2026-08-03,Payment,charge,po_wRgWOZnscOuGFl,card,American Express,order_Tu1SvWnxNBNn0U,RCPT-US-100077,1.000000
txn_m4of3l00v4Qduk,refund,rfnd_m4of3l00v4Qduk,78.86,usd,-39.43,0.00,-39.43,usd,2026-08-01 12:45:00,2026-08-03,Refund,refund,po_wRgWOZnscOuGFl,card,American Express,order_Tu1SvWnxNBNn0U,RCPT-US-100077,1.000000
txn_oVSnS3A93pTyjT,charge,pay_oVSnS3A93pTyjT,34.66,usd,34.66,0.93,33.73,usd,2026-08-01 12:50:00,2026-08-03,Payment,charge,po_wRgWOZnscOuGFl,card,Discover,order_vYiyIqBtsvrCBC,RCPT-US-100201,1.000000
txn_R8rtpB1xgH7nu7,charge,pay_R8rtpB1xgH7nu7,209.70,usd,209.70,4.11,205.59,usd,2026-08-03 09:26:00,2026-08-03,Payment,charge,po_bSrPVGW84eVMdC,card,Visa,order_N7lWMeniU4VIyO,RCPT-US-100026,1.000000
txn_zgOKBpHh1hycr3,refund,rfnd_zgOKBpHh1hycr3,209.70,usd,-104.85,0.00,-104.85,usd,2026-08-03 09:26:00,2026-08-03,Refund,refund,po_bSrPVGW84eVMdC,card,Visa,order_N7lWMeniU4VIyO,RCPT-US-100026,1.000000
txn_Es915ovPiSbaTx,charge,pay_Es915ovPiSbaTx,169.64,usd,169.64,3.39,166.25,usd,2026-08-01 13:48:00,2026-08-03,Payment,charge,po_wRgWOZnscOuGFl,card,Discover,order_3jnjD0SGBoIV9j,RCPT-US-100002,1.000000
