Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
03/08/26,RTGS CR-INDBR6782257072-MEGHNA STORE PVT LTD-5988023031k7e318,5988023031k7e318,03/08/26,,5016.31,5016.31
03/08/26,RTGS CR-PUNBR9438815706-MEGHNA STORE PVT LTD-4612697149q0s580,4612697149q0s580,03/08/26,,26289.26,31305.57
04/08/26,RTGS CR-UTIBR2052639590-MEGHNA STORE PVT LTD-6753106955k3y994,6753106955k3y994,04/08/26,,19316.00,50621.57
04/08/26,NEFT CR-SBIN0051111-MEGHNA STORE PVT LTD-599309088526,599309088526,04/08/26,,2694.47,53316.04
05/08/26,RTGS CR-ICICR7179180939-MEGHNA STORE PVT LTD-692853922261,692853922261,05/08/26,,3891.94,57207.98
05/08/26,NEFT CR-UTIB0041271-MEGHNA STORE PVT LTD-624182764238,624182764238,05/08/26,,24134.72,81342.70
06/08/26,MMT/IMPS/431752571167/MEGHNA STORE PVT LTD/State,431752571167,06/08/26,,20912.47,102255.17
06/08/26,MMT/IMPS/4010945537j3c855/MEGHNA STORE PVT LTD/ICICI,4010945537j3c855,06/08/26,,819.22,103074.39
07/08/26,NEFT CR-UTIB0087583-MEGHNA STORE PVT LTD-379230697628,379230697628,07/08/26,,2660.60,105734.99
07/08/26,NEFT CR-IDFB0055794-MEGHNA STORE PVT LTD-128806061157,128806061157,07/08/26,,12755.75,118490.74
10/08/26,MMT/IMPS/831957253914/MEGHNA STORE PVT LTD/Kotak,831957253914,10/08/26,,5426.46,123917.20
10/08/26,NEFT CR-SBIN0086921-MEGHNA STORE PVT LTD-310925085643,310925085643,10/08/26,,58908.68,182825.88
11/08/26,NEFT CR-SBIN0074880-MEGHNA STORE PVT LTD-4891066411y3m685,4891066411y3m685,11/08/26,,4442.46,187268.34
11/08/26,NEFT CR-IDFB0012813-MEGHNA STORE PVT LTD-573387546335,573387546335,11/08/26,,24845.68,212114.02
12/08/26,NEFT CR-INDB0077478-MEGHNA STORE PVT LTD-107113738502,107113738502,12/08/26,,15231.23,227345.25
13/08/26,NEFT CR-HDFC0011134-MEGHNA STORE PVT LTD-538327548029,538327548029,13/08/26,,19187.19,246532.44
14/08/26,RTGS CR-ICICR3500904198-MEGHNA STORE PVT LTD-5426409400z2b576,5426409400z2b576,14/08/26,,13736.30,260268.74
17/08/26,NEFT CR-YESB0018689-MEGHNA STORE PVT LTD-4222180334x1b528,4222180334x1b528,17/08/26,,44229.36,304498.10
17/08/26,NEFT CR-RATN0030581-MEGHNA STORE PVT LTD-453360469103,453360469103,17/08/26,,15343.84,319841.94
18/08/26,NEFT CR-KKBK0085984-MEGHNA STORE PVT LTD-623928359786,623928359786,18/08/26,,4154.11,323996.05
18/08/26,MMT/IMPS/965348286116/MEGHNA STORE PVT LTD/Kotak,965348286116,18/08/26,,15644.56,339640.61
19/08/26,MMT/IMPS/5643639034h2g640/MEGHNA STORE PVT LTD/ICICI,5643639034h2g640,19/08/26,,24956.90,364597.51
19/08/26,NEFT CR-SBIN0097899-MEGHNA STORE PVT LTD-758019943651,758019943651,19/08/26,,1521.19,366118.70
20/08/26,NEFT CR-HDFC0062991-MEGHNA STORE PVT LTD-2258486643b4r596,2258486643b4r596,20/08/26,,25759.14,391877.84
20/08/26,MMT/IMPS/629310831199/MEGHNA STORE PVT LTD/ICICI,629310831199,20/08/26,,2673.16,394551.00
21/08/26,RTGS CR-PUNBR9473511734-MEGHNA STORE PVT LTD-6006378942x2b428,6006378942x2b428,21/08/26,,2041.65,396592.65
21/08/26,NEFT CR-YESB0098002-MEGHNA STORE PVT LTD-167481084389,167481084389,21/08/26,,1992.98,398585.63
21/08/26,RTGS CR-SBINR8661186931-MEGHNA STORE PVT LTD-234513110637,234513110637,21/08/26,,19745.38,418331.01
24/08/26,MMT/IMPS/669131461235/MEGHNA STORE PVT LTD/IndusInd,669131461235,24/08/26,,33402.48,451733.49
24/08/26,NEFT CR-PUNB0097600-MEGHNA STORE PVT LTD-889885284253,889885284253,24/08/26,,4403.29,456136.78
25/08/26,MMT/IMPS/588326366695/MEGHNA STORE PVT LTD/HDFC,588326366695,25/08/26,,18449.51,474586.29
25/08/26,MMT/IMPS/188255191783/MEGHNA STORE PVT LTD/Punjab,188255191783,25/08/26,,176.87,474763.16
26/08/26,MMT/IMPS/413649601516/MEGHNA STORE PVT LTD/State,413649601516,26/08/26,,18083.14,492846.30
27/08/26,NEFT CR-SBIN0020159-MEGHNA STORE PVT LTD-794210426733,794210426733,27/08/26,,19857.82,512704.12
