entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_4E4jGwmr1a1ztH,payment,0,37093,37944,INR,721,130,False,True,1785546240,1785719040,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_7TKpL9uovsHxZZ,RCPT-D2C-100140,card,MasterCard,YESB,debit,
pay_ZFkn7XvgKJWSKh,payment,0,84178,84178,INR,0,0,False,True,1785546300,1785719100,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_K7EGYfwzy9zMTI,RCPT-D2C-100035,upi,,,,
pay_PK5ACDiBZLPKD6,payment,0,45740,46789,INR,889,160,False,True,1785546660,1785719460,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_xGAnjq8MJaMhmp,RCPT-D2C-100042,card,American Express,PUNB,credit,
pay_7rKGyu1TvnUYLp,payment,0,126864,127808,INR,800,144,False,True,1785547140,1785719940,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_0WUOXIj6X11QPD,RCPT-D2C-100096,upi,,,,
pay_bX3qB9BDbnipYK,payment,0,188607,192933,INR,3666,660,False,True,1785550080,1785722880,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_XuXjIW65XQiJKK,RCPT-D2C-100198,card,MasterCard,ICIC,credit,
pay_dZ58z699UkKvhq,payment,0,61924,63345,INR,1204,217,False,True,1785550860,1785723660,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_9ZnfhgiN8Qf2K2,RCPT-D2C-100323,card,MasterCard,KKBK,credit,
pay_UYQq2TjZg4arDT,payment,0,32385,32385,INR,0,0,False,True,1785553440,1785726240,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_TP3Yzb2iQTMIDN,RCPT-D2C-100123,upi,,,,
pay_TZkicDC3JJGl4R,payment,0,195829,200320,INR,3806,685,False,True,1785555060,1785727860,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_hYvd2ScKcq1owF,RCPT-D2C-100380,card,Visa,UTIB,credit,
pay_vTzZiblUhDWKLJ,payment,0,77804,77804,INR,0,0,False,True,1785557580,1785730380,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_hNaVYGnKMFgesw,RCPT-D2C-100452,upi,,,,
pay_P7BRUPnHZVGGA9,payment,0,156188,156188,INR,0,0,False,True,1785559560,1785732360,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_1kIfLDX6SPNx7N,RCPT-D2C-100446,upi,,,,
pay_S5QPsZJA94pBjO,payment,0,152688,152688,INR,0,0,False,True,1785563220,1785736020,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_DFS3bovJnlpExO,RCPT-D2C-100332,upi,,,,
pay_BFNY4itOFZS0Z5,payment,0,104214,105630,INR,1200,216,False,True,1785566700,1785739500,setl_MTEI16kzbhXuD1,,default,Payment via NETBANKING,,,4612697149q0s580,order_eVBC6KhYQLCOkp,RCPT-D2C-100411,netbanking,,,,
pay_13NbwBdauMszru,payment,0,167121,170542,INR,2899,522,False,True,1785568500,1785741300,setl_MTEI16kzbhXuD1,,default,Payment via WALLET,,,4612697149q0s580,order_FFoOTYMaXkq4r8,RCPT-D2C-100242,wallet,,,,
pay_Ja2yR3nmHY2csd,payment,0,140549,140549,INR,0,0,False,True,1785568740,1785741540,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_SuWSWZhjmYpUAy,RCPT-D2C-100080,upi,,,,
pay_YKEsddeIJtAr6D,payment,0,81164,83025,INR,1577,284,False,True,1785733440,1785744240,setl_piMmOrgbHyqPgs,,default,Payment via CARD,,,5988023031k7e318,order_ILkE8Sx2luSGrD,RCPT-D2C-100496,card,American Express,UTIB,credit,
pay_ftcLOIadn5rPvi,payment,0,90055,90055,INR,0,0,False,True,1785733740,1785744540,setl_piMmOrgbHyqPgs,,default,Payment via UPI,,,5988023031k7e318,order_2xqwHx1SSRkRXQ,RCPT-D2C-100031,upi,,,,
pay_14PehPjPB9atpT,payment,0,326329,333009,INR,5661,1019,False,True,1785574140,1785746940,setl_MTEI16kzbhXuD1,,default,Payment via WALLET,,,4612697149q0s580,order_DBMf4rpaFQOqb7,RCPT-D2C-100025,wallet,,,,
pay_IHsG3z44mCmzf1,payment,0,95878,98076,INR,1863,335,False,True,1785577560,1785750360,setl_MTEI16kzbhXuD1,,default,Payment via CARD,,,4612697149q0s580,order_PpnTH0ZFeCH9XO,RCPT-D2C-100328,card,Visa,HDFC,credit,
pay_y54CNdme4tFuSV,payment,0,89561,89561,INR,0,0,False,True,1785657600,1785754800,setl_piMmOrgbHyqPgs,,default,Payment via UPI,,,5988023031k7e318,order_17mL9Ip0wHpL1g,RCPT-D2C-100193,upi,,,,
pay_yvWGOyvmzDOX48,payment,0,165651,165651,INR,0,0,False,True,1785584280,1785757080,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_vbKYotE7aMUTVg,RCPT-D2C-100180,upi,,,,
pay_8LncnrKs8vSwZP,payment,0,32167,32167,INR,0,0,False,True,1785584760,1785757560,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_VQ9BFs3NpQn9pp,RCPT-D2C-100155,upi,,,,
pay_o8eHVQYnmky2QB,payment,0,78533,80334,INR,1526,275,False,True,1785577800,1785761400,setl_piMmOrgbHyqPgs,,default,Payment via CARD,,,5988023031k7e318,order_XzYEXz6oiAR5VS,RCPT-D2C-100186,card,RuPay,SBIN,debit,
pay_Oh0LOmL53MluuH,payment,0,151516,152932,INR,1200,216,False,True,1785588660,1785761460,setl_MTEI16kzbhXuD1,,default,Payment via NETBANKING,,,4612697149q0s580,order_vdtmtNR11b7gDf,RCPT-D2C-100182,netbanking,,,,
pay_2jdxIBL7tsj1ba,payment,0,99488,101988,INR,0,0,False,True,1785594180,1785766980,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_vbVGKQo3NSR5D1,RCPT-D2C-100397,upi,,,,
pay_eDGJUwA8MrvTll,payment,0,111326,111326,INR,0,0,False,True,1785594480,1785767280,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_cwpGeUXQYHXeYK,RCPT-D2C-100068,upi,,,,
pay_cwbdAxkuPi43OP,payment,0,150775,150775,INR,0,0,False,True,1785595680,1785768480,setl_MTEI16kzbhXuD1,,default,Payment via UPI,,,4612697149q0s580,order_4VIzntv7tkJXUQ,RCPT-D2C-100480,upi,,,,
rfnd_APgxgzKUsqNevD,refund,75388,0,75388,INR,0,0,False,True,1785595680,1785768480,setl_MTEI16kzbhXuD1,,default,Refund via UPI,,rfnd_APgxgzKUsqNevD,4612697149q0s580,order_4VIzntv7tkJXUQ,RCPT-D2C-100480,upi,,,,
pay_Ps2VOI3UzvckLI,payment,0,111517,111517,INR,0,0,False,True,1785759780,1785770580,setl_piMmOrgbHyqPgs,,default,Payment via UPI,,,5988023031k7e318,order_FP6eFAjCHcqIR4,RCPT-D2C-100325,upi,,,,
